; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1847, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 733.382
; "Time_ContextDestroy [ms]", 158.499
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0,0.185989,0.244865,0.000629,0.009056,0.012288,0.007168,0.013472,0.07033,0.585554,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0,0.186129,0.237462,0.000629,0.008384,0.011008,0.006144,0.013632,0.070121,0.576613,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0,0.184941,0.236834,0.000628,0.009056,0.011264,0.007168,0.012896,0.069772,0.57396,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0,0.185779,0.236205,0.000698,0.008192,0.011264,0.017152,0.013312,0.075429,0.601548,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0,0.196046,0.241583,0.000698,0.009216,0.011264,0.007168,0.013312,0.070819,0.59156,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0,0.193531,0.248288,0.001257,0.009472,0.03584,0.02048,0.014368,0.072636,0.647503,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0,0.196186,0.242282,0.000628,0.009216,0.024576,0.02048,0.013888,0.071308,0.620963,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0,0.187315,0.242351,0.000699,0.009824,0.024576,0.019456,0.014048,0.069423,0.607833,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0,0.184662,0.241094,0.000628,0.009856,0.023552,0.029696,0.014528,0.071239,0.61817,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0,0.185989,0.250942,0.000629,0.009056,0.023552,0.019456,0.014336,0.068864,0.615586,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0,0.190249,0.243678,0.000628,0.023552,0.032768,0.02832,0.044032,0.071099,0.676138,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0,0.189201,0.2515,0.000628,0.024576,0.03248,0.027648,0.043424,0.072566,0.683262,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0,0.188782,0.243398,0.000629,0.023488,0.033568,0.027648,0.04496,0.070261,0.674043,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0,0.185779,0.24249,0.000629,0.024384,0.043008,0.039584,0.0456,0.072217,0.695973,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0,0.193601,0.242351,0.000699,0.024416,0.031744,0.02864,0.044512,0.069632,0.676488,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"Success",0,0.188712,0.251291,0.000629,0.308576,0.093184,0.088064,0.56544,0.076337,1.61307,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Success",0,0.189411,0.240815,0.000629,0.310592,0.09216,0.088064,0.540032,0.073264,1.57759,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Success",0,0.188922,0.248707,0.000629,0.308704,0.093184,0.087936,0.564384,0.073194,1.60678,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Success",0,0.199538,0.241024,0.000629,0.322688,0.093952,0.088064,0.544224,0.073334,1.60434,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,"Success",0,0.206383,0.246751,0.000629,0.319968,0.093024,0.087936,0.547552,0.073055,1.62026,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,"Success",0,0.288098,0.386295,0.000558,2.97062,1.89645,1.87555,3.24054,0.15896,10.8762,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,"Success",0,0.33985,0.38846,0.000629,2.98643,1.88928,1.87558,3.17264,0.166014,10.8874,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,"Success",0,0.319316,0.386993,0.000489,2.94637,1.88925,1.8729,3.27584,0.171602,10.9241,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,"Success",0,0.31785,0.387901,0.000558,3.01251,1.89101,1.87382,3.20045,0.166573,10.9113,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,"Success",0,0.321482,0.387902,0.000559,2.97888,1.88928,1.8769,3.23075,0.169366,10.9179,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,"Success",0,0.474156,0.530169,0.000559,48.727,36.4704,36.4462,28.9516,0.353819,152.029,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,"Success",0,0.466543,0.528213,0.000559,48.758,36.4769,36.4462,28.9295,0.346415,152.026,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,"Success",0,0.482467,0.527306,0.000558,48.7835,36.4635,36.4452,28.9282,0.349139,152.06,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,"Success",0,0.477019,0.520251,0.000559,48.761,36.4585,36.437,28.9317,0.343552,152.009,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,"Success",0,0.469547,0.528283,0.000559,48.7741,36.4667,36.437,28.926,0.330282,152.011,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,0,"Success",0,0.183195,0.209037,0.000559,0.008192,0.015104,0.00992,0.012544,0.065511,0.541902,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,1,"Success",0,0.174256,0.208757,0.000558,0.007584,0.014336,0.009856,0.012544,0.064883,0.52954,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,2,"Success",0,0.174116,0.208408,0.000628,0.007328,0.014912,0.01024,0.01248,0.064394,0.528982,2888,2888,2888,68
