; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1733, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1490601170,"CurrentTimeLocal","Mon Mar 27 09:52:50 2017"
; "Time_ContextCreate [ms]", 2061.112195
; "Time_ContextDestroy [ms]", 338.114254
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Success",0.364202,0.248872,4e-05,0.0081919999793,0.011264000088,0.0059520001523,0.010879999958,0.082383,0.756723,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Success",0.36273,0.272711,4.1e-05,0.0094079999253,0.011008000001,0.0061440002173,0.010912000202,0.084161,0.783208,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.361663,0.248725,3.1e-05,0.008287999779,0.011040000245,0.0061440002173,0.010367999785,0.082465,0.755182,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.361135,0.268147,3.5e-05,0.009216000326,0.010847999714,0.0059839999303,0.010719999671,0.08679,0.778791,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.366282,0.263853,3.2e-05,0.0081919999793,0.010239999741,0.0061440002173,0.010239999741,0.080812,0.771115,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.359899,0.282049,3.7e-05,0.0087999999523,0.011264000088,0.0059839999303,0.011327999644,0.084467,0.789198,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.36514,0.248225,3.8e-05,0.0089919995517,0.011264000088,0.0061440002173,0.011168000288,0.081016,0.757029,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.359481,0.252041,4.3e-05,0.0081919999793,0.010239999741,0.0057600000873,0.011168000288,0.083232,0.769426,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.364318,0.248862,4.1e-05,0.0089600002393,0.011071999557,0.0059199999087,0.010239999741,0.080736,0.755257,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.359725,0.24813,3.6e-05,0.008448000066,0.011264000088,0.006016000174,0.010495999828,0.100187,0.769272,152,152,152
