; "GeForce GTX 1080", "CC", 6.1, "PCI Bus ID", 6, "PCI Device ID", 0, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "ECC enabled", 0, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1733, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496750321,"CurrentTimeLocal","Tue Jun  6 13:58:41 2017","Hostname","r02n03"
; "Time_ContextCreate [ms]", 2263.233844
; "Time_ContextDestroy [ms]", 341.209423
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.368088,0.251588,5e-05,0.010239999741,0.022143999115,0.007840000093,0.013279999606,0.094089,0.795425,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.371044,0.251952,5.9e-05,0.010239999741,0.012288000435,0.0061440002173,0.012575999834,0.085442,0.77784,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.365348,0.250602,3.9e-05,0.0095359999686,0.012000000104,0.0071680000983,0.012288000435,0.084731,0.769668,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.36801,0.251156,5.2e-05,0.0094079999253,0.011264000088,0.007071999833,0.011648000218,0.085159,0.771862,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.36419,0.250501,4.5e-05,0.010239999741,0.011264000088,0.0071680000983,0.011487999931,0.085896,0.767591,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.362612,0.25515,5.9e-05,0.0093440003693,0.011264000088,0.0061440002173,0.012671999633,0.0849,0.771531,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.363469,0.250098,4.8e-05,0.010239999741,0.011264000088,0.0069120000117,0.012128000148,0.084751,0.766837,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.36287,0.254898,4.7e-05,0.009824000299,0.011008000001,0.0071040000767,0.011904000305,0.08422,0.769562,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.368544,0.251085,3.5e-05,0.009887999855,0.011231999844,0.00684799999,0.012288000435,0.084176,0.771362,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.365144,0.274853,3.6e-05,0.009216000326,0.011872000061,0.0061440002173,0.012736000121,0.085952,0.795252,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.368149,0.250117,4.7e-05,0.009216000326,0.011008000001,0.0061440002173,0.012191999704,0.084018,0.769704,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.362605,0.255034,4.6e-05,0.009440000169,0.010784000158,0.0071040000767,0.012032000348,0.084207,0.770127,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.373827,0.262198,4.4e-05,0.010271999985,0.091040000319,0.019455999136,0.014015999623,0.090916,0.890146,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",0.368485,0.261245,6.2e-05,0.011264000088,0.024576000869,0.019360000268,0.013567999937,0.086574,0.8119,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",0.369744,0.255768,4.7e-05,0.010176000185,0.024288000539,0.019168000668,0.01369599998,0.084769,0.805151,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",0.363949,0.281555,3.8e-05,0.0093759996817,0.024224000052,0.01929599978,0.012799999677,0.089893,0.829245,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",0.367118,0.255316,4.4e-05,0.010208000429,0.024191999808,0.019392000511,0.012768000364,0.085746,0.801898,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,68,"Success",0.362504,0.260506,4.9e-05,0.0093440003693,0.023552000523,0.019039999694,0.012864000164,0.084507,0.801071,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,68,"Success",0.363106,0.255653,4.1e-05,0.010304000229,0.024576000869,0.019455999136,0.012288000435,0.084406,0.79761,2888,2888,2888
