; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5759, "MemoryFree [MiB]", 5674, "MemClock [MHz]", 2600, "GPUClock [MHz]", 784, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 12.7537
; "Time_ContextDestroy [ms]", 145.371
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,0,"Success",3.44267,0.179679,37.8415,0.876896,0.808128,0.789632,0.879328,0.560126,42.025,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,1,"Success",3.45735,0.176657,37.8644,0.877696,0.801952,0.801152,0.888224,0.560653,42.0602,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,2,"Success",3.46625,0.17726,37.817,0.875968,0.802976,0.794048,0.879584,0.569544,42.0312,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,3,"Success",3.47487,0.176718,37.9164,0.864832,0.809888,0.798848,0.899904,0.569984,42.1391,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,4,"Success",3.45327,0.182627,37.8233,0.867648,0.806208,0.792352,0.884448,0.568503,42.0287,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,0,"Success",11.7771,0.178149,139.864,3.1673,2.95968,2.92621,2.63206,0.602648,152.424,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,1,"Success",11.6657,0.177359,139.874,3.15968,2.93501,2.92294,2.55283,0.59995,152.319,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,2,"Success",11.6938,0.176818,139.83,3.1744,2.95366,2.9296,2.54262,0.597164,152.299,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,3,"Success",12.0109,0.176669,139.915,3.1664,2.94621,2.9264,2.55114,0.60732,152.711,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,4,"Success",11.8763,0.177413,139.778,3.37574,2.95603,2.91795,2.53379,0.6148,152.448,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,0,"Success",23.9333,0.183756,295.015,6.20166,6.05853,6.03568,5.34301,0.642852,319.776,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,1,"Success",24.0779,0.179836,294.998,6.27418,6.05312,6.0311,5.41779,0.64507,319.902,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,2,"Success",24.0161,0.179885,294.971,6.20784,6.0817,5.99888,5.30262,0.650038,319.819,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,3,"Success",23.93,0.190879,295.971,6.2297,6.0559,6.04118,5.30803,0.648104,320.741,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,4,"Success",23.9777,0.183628,295.383,6.21856,6.0456,6.00899,5.29248,0.642224,320.188,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",4194305,0,0,0,"Success",46.4259,0.188971,612.36,12.2617,11.2868,11.1987,11.3092,0.736039,659.713,3.35544e+07,1.34369e+08,3.35544e+07
