; "ClFFT Informations","Device","Tesla K20Xm","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","14"
; "Time_ContextCreate [ms]", 971.768
; "Time_ContextDestroy [ms]", 28.1309
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,float,2,1,512,512,0,0,2.40285,0.002051,6.25335,0.991742,0.401725,0.233593,0.774464,0.29546,8.95497,2.09715e+06,2.09715e+06
ClFFT,Inplace,Complex,float,2,1,512,512,0,1,2.40346,0.00213,6.22629,0.998233,0.402243,0.229336,0.772466,0.295012,8.92801,2.09715e+06,2.09715e+06
ClFFT,Inplace,Complex,float,2,1,512,512,0,2,2.40948,0.00265,6.28432,0.996925,0.401584,0.230049,0.779652,0.28899,8.98672,2.09715e+06,2.09715e+06
ClFFT,Inplace,Complex,float,2,1,512,512,0,3,2.40564,0.002154,6.27863,0.991159,0.40392,0.229873,0.779463,0.288484,8.97597,2.09715e+06,2.09715e+06
ClFFT,Inplace,Complex,float,2,1,512,512,0,4,2.39719,0.002381,6.25976,0.984996,0.402743,0.230609,0.777689,0.295299,8.95598,2.09715e+06,2.09715e+06
ClFFT,Inplace,Complex,float,2,1,1024,1024,0,0,8.53663,0.002423,10.6552,2.97232,1.58004,1.18036,2.8026,0.300935,19.4964,8.38861e+06,8.38861e+06
ClFFT,Inplace,Complex,float,2,1,1024,1024,0,1,8.52257,0.002468,10.8171,2.95149,1.58476,1.18252,2.80239,0.315853,19.659,8.38861e+06,8.38861e+06
ClFFT,Inplace,Complex,float,2,1,1024,1024,0,2,8.46301,0.002196,10.5419,2.9319,1.54487,1.18044,2.80443,0.303733,19.3118,8.38861e+06,8.38861e+06
ClFFT,Inplace,Complex,float,2,1,1024,1024,0,3,8.55661,0.002614,10.7103,2.95701,1.55767,1.1794,2.86113,0.302547,19.5731,8.38861e+06,8.38861e+06
ClFFT,Inplace,Complex,float,2,1,1024,1024,0,4,8.50705,0.002238,10.6537,2.94558,1.55766,1.19323,2.80914,0.298491,19.4627,8.38861e+06,8.38861e+06
ClFFT,Inplace,Complex,float,2,1,2048,2048,0,0,33.3153,0.002231,15.2986,11.7495,5.73691,5.18234,10.6452,0.367273,48.9846,3.35544e+07,3.35544e+07
ClFFT,Inplace,Complex,float,2,1,2048,2048,0,1,33.2658,0.002139,15.2311,11.6369,5.75573,5.21617,10.6556,0.381172,48.8814,3.35544e+07,3.35544e+07
ClFFT,Inplace,Complex,float,2,1,2048,2048,0,2,33.3448,0.002369,15.3817,11.6387,5.81076,5.23597,10.6581,0.385058,49.1151,3.35544e+07,3.35544e+07
ClFFT,Inplace,Complex,float,2,1,2048,2048,0,3,33.2524,0.002396,15.4277,11.6151,5.73435,5.19136,10.7103,0.358344,49.0421,3.35544e+07,3.35544e+07
ClFFT,Inplace,Complex,float,2,1,2048,2048,0,4,33.5548,0.002235,15.2147,11.6524,5.99454,5.23906,10.6674,0.36109,49.134,3.35544e+07,3.35544e+07
ClFFT,Inplace,Complex,float,2,1,4096,4096,0,0,166.693,0.002483,29.3746,45.1712,38.5228,38.41,44.5876,0.397355,196.469,1.34218e+08,1.34218e+08
ClFFT,Inplace,Complex,float,2,1,4096,4096,0,1,167.19,0.002398,29.4469,45.2431,38.7111,38.6136,44.6209,0.398054,197.039,1.34218e+08,1.34218e+08
ClFFT,Inplace,Complex,float,2,1,4096,4096,0,2,167.197,0.002352,29.459,45.1374,38.5944,38.6927,44.7715,0.397918,197.058,1.34218e+08,1.34218e+08
ClFFT,Inplace,Complex,float,2,1,4096,4096,0,3,167.284,0.002215,29.4174,45.2308,38.8026,38.5638,44.6851,0.394745,197.099,1.34218e+08,1.34218e+08
ClFFT,Inplace,Complex,float,2,1,4096,4096,0,4,167.536,0.00239,29.5827,45.2753,38.7807,38.8257,44.6534,0.403975,197.527,1.34218e+08,1.34218e+08
