; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5759, "MemoryFree [MiB]", 5673, "MemClock [MHz]", 2600, "GPUClock [MHz]", 732, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 12.6765
; "Time_ContextDestroy [ms]", 127.915
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Inplace,Complex,double,1,1,262144,0,0,0,3.33434,0.1676,1.01851,1.44534,0.232608,0.22368,1.3816,0.280141,4.82148,4.1943e+06,4.1943e+06
CuFFT,Inplace,Complex,double,1,1,262144,0,0,1,3.35517,0.167033,1.01935,1.46096,0.234208,0.221376,1.38362,0.279877,4.84224,4.1943e+06,4.1943e+06
CuFFT,Inplace,Complex,double,1,1,262144,0,0,2,3.36544,0.173016,1.05376,1.45405,0.23568,0.2208,1.4015,0.271461,4.8832,4.1943e+06,4.1943e+06
CuFFT,Inplace,Complex,double,1,1,262144,0,0,3,3.38554,0.173483,1.01223,1.4496,0.233376,0.223968,1.4231,0.269949,4.86179,4.1943e+06,4.1943e+06
CuFFT,Inplace,Complex,double,1,1,262144,0,0,4,3.34835,0.174354,1.05942,1.4487,0.22944,0.22048,1.38691,0.277277,4.88574,4.1943e+06,4.1943e+06
CuFFT,Inplace,Complex,double,1,1,265841,0,0,0,6.06253,0.167817,3.59584,1.47107,1.51117,1.50381,1.51235,0.53863,10.3909,4.25346e+06,1.7281e+07
CuFFT,Inplace,Complex,double,1,1,265841,0,0,1,6.06374,0.173431,3.50944,1.47971,1.51341,1.5031,1.50438,0.545847,10.313,4.25346e+06,1.7281e+07
CuFFT,Inplace,Complex,double,1,1,265841,0,0,2,6.07866,0.168038,3.50064,1.47485,1.51904,1.50963,1.50941,0.536648,10.3105,4.25346e+06,1.7281e+07
CuFFT,Inplace,Complex,double,1,1,265841,0,0,3,6.08723,0.177231,3.5291,1.47558,1.51779,1.50755,1.52384,0.529518,10.3506,4.25346e+06,1.7281e+07
CuFFT,Inplace,Complex,double,1,1,265841,0,0,4,6.09194,0.167883,3.48006,1.46742,1.52957,1.5057,1.51133,0.535456,10.303,4.25346e+06,1.7281e+07
CuFFT,Inplace,Complex,double,1,1,1048576,0,0,0,11.7875,0.198161,1.15428,5.52598,0.720256,0.68416,4.79942,0.340102,13.7762,1.67772e+07,1.67772e+07
CuFFT,Inplace,Complex,double,1,1,1048576,0,0,1,11.8123,0.185086,1.02441,5.53789,0.731232,0.685952,4.79882,0.310964,13.6247,1.67772e+07,1.67772e+07
CuFFT,Inplace,Complex,double,1,1,1048576,0,0,2,11.8276,0.179298,1.02559,5.53315,0.724928,0.687072,4.81856,0.313926,13.5749,1.67772e+07,1.67772e+07
CuFFT,Inplace,Complex,double,1,1,1048576,0,0,3,11.8166,0.19972,1.19211,5.54435,0.719072,0.684832,4.80035,0.31289,13.8421,1.67772e+07,1.67772e+07
CuFFT,Inplace,Complex,double,1,1,1048576,0,0,4,11.7963,0.178675,1.02642,5.53891,0.720064,0.690592,4.7903,0.335054,13.608,1.67772e+07,1.67772e+07
CuFFT,Inplace,Complex,double,1,1,1048577,0,0,0,21.3784,0.190904,4.95813,5.64336,5.26195,5.25008,5.1632,0.639887,27.197,1.67772e+07,6.71846e+07
CuFFT,Inplace,Complex,double,1,1,1048577,0,0,1,21.4494,0.178718,4.92041,5.56736,5.3455,5.27466,5.18854,0.625577,27.198,1.67772e+07,6.71846e+07
CuFFT,Inplace,Complex,double,1,1,1048577,0,0,2,21.3926,0.183798,4.90725,5.55907,5.31389,5.29933,5.15226,1.08211,27.5895,1.67772e+07,6.71846e+07
CuFFT,Inplace,Complex,double,1,1,1048577,0,0,3,21.5515,0.18386,4.94946,5.5832,5.30448,5.30518,5.29782,0.62715,27.3352,1.67772e+07,6.71846e+07
CuFFT,Inplace,Complex,double,1,1,1048577,0,0,4,21.4198,0.181777,4.92057,5.59968,5.31136,5.2623,5.18755,0.629529,27.1748,1.67772e+07,6.71846e+07
CuFFT,Inplace,Complex,double,1,1,2097152,0,0,0,23.4154,0.197114,1.09159,11.1132,1.34054,1.28352,9.60368,0.440965,25.3848,3.35544e+07,3.35544e+07
CuFFT,Inplace,Complex,double,1,1,2097152,0,0,1,23.4306,0.203696,1.13369,11.1188,1.34826,1.29344,9.58538,0.44249,25.5618,3.35544e+07,3.35544e+07
CuFFT,Inplace,Complex,double,1,1,2097152,0,0,2,23.4493,0.193311,1.08241,11.1525,1.34042,1.28813,9.58973,0.452864,25.48,3.35544e+07,3.35544e+07
CuFFT,Inplace,Complex,double,1,1,2097152,0,0,3,23.518,0.201685,1.07963,11.1967,1.33955,1.29286,9.60058,0.453747,25.5386,3.35544e+07,3.35544e+07
CuFFT,Inplace,Complex,double,1,1,2097152,0,0,4,23.4323,0.226892,1.08992,11.1205,1.34326,1.29542,9.60566,0.451797,25.4439,3.35544e+07,3.35544e+07
CuFFT,Inplace,Complex,double,1,1,2097153,0,0,0,46.6164,0.206964,7.32179,11.1793,12.4073,12.3622,10.5996,0.745295,54.9184,3.35544e+07,1.34369e+08
CuFFT,Inplace,Complex,double,1,1,2097153,0,0,1,46.5756,0.198124,7.30347,11.1851,12.4103,12.3097,10.5989,0.733053,54.8369,3.35544e+07,1.34369e+08
CuFFT,Inplace,Complex,double,1,1,2097153,0,0,2,46.6932,0.204042,7.36939,11.1842,12.4334,12.345,10.658,0.744273,55.0388,3.35544e+07,1.34369e+08
CuFFT,Inplace,Complex,double,1,1,2097153,0,0,3,46.622,0.205652,7.30792,11.1864,12.3859,12.3712,10.6071,0.748626,54.9117,3.35544e+07,1.34369e+08
CuFFT,Inplace,Complex,double,1,1,2097153,0,0,4,46.7827,0.210902,7.33529,11.2126,12.4366,12.4479,10.6149,0.734403,55.0917,3.35544e+07,1.34369e+08
CuFFT,Inplace,Complex,double,1,1,4194304,0,0,0,49.873,0.266607,1.0974,22.1718,2.93133,2.88029,21.8189,0.467973,52.0607,6.71089e+07,6.71089e+07
CuFFT,Inplace,Complex,double,1,1,4194304,0,0,1,49.827,0.254172,1.07672,22.1748,2.91418,2.87664,21.7859,0.462612,51.901,6.71089e+07,6.71089e+07
CuFFT,Inplace,Complex,double,1,1,4194304,0,0,2,50.5239,0.250356,1.09399,22.4576,2.94422,2.85734,21.8169,0.469656,52.6399,6.71089e+07,6.71089e+07
CuFFT,Inplace,Complex,double,1,1,4194304,0,0,3,50.1676,0.269341,1.06709,22.183,2.916,2.87645,21.8166,0.465578,52.2495,6.71089e+07,6.71089e+07
CuFFT,Inplace,Complex,double,1,1,4194304,0,0,4,50.1772,0.263958,1.075,22.1297,2.90387,2.88067,21.8177,0.466152,52.2765,6.71089e+07,6.71089e+07
CuFFT,Inplace,Complex,double,1,1,4194305,0,0,0,95.1171,0.274504,12.4801,22.2001,25.5306,25.499,21.8141,0.772077,108.671,6.71089e+07,2.68739e+08
CuFFT,Inplace,Complex,double,1,1,4194305,0,0,1,95.1512,0.259488,12.2883,22.2511,25.5288,25.4803,21.8215,0.801446,108.529,6.71089e+07,2.68739e+08
CuFFT,Inplace,Complex,double,1,1,4194305,0,0,2,95.1663,0.264506,12.5976,22.1984,25.5959,25.4542,21.8436,0.834342,108.891,6.71089e+07,2.68739e+08
CuFFT,Inplace,Complex,double,1,1,4194305,0,0,3,95.2609,0.26121,12.5578,22.2304,25.5998,25.5141,21.843,0.800042,108.907,6.71089e+07,2.68739e+08
CuFFT,Inplace,Complex,double,1,1,4194305,0,0,4,95.1134,0.258549,12.178,22.1964,25.5023,25.4821,21.8577,0.771719,108.363,6.71089e+07,2.68739e+08
CuFFT,Inplace,Complex,double,1,1,8388607,0,0,0,178.216,0.312472,20.3242,44.5109,44.6542,44.6893,44.2829,0.909143,199.791,1.34218e+08,5.36871e+08
CuFFT,Inplace,Complex,double,1,1,8388607,0,0,1,177.99,0.328004,20.3502,44.1946,44.702,44.5908,44.4321,0.882139,199.581,1.34218e+08,5.36871e+08
CuFFT,Inplace,Complex,double,1,1,8388607,0,0,2,177.992,0.310876,20.5181,44.2149,44.7372,44.6338,44.3297,0.902404,199.752,1.34218e+08,5.36871e+08
CuFFT,Inplace,Complex,double,1,1,8388607,0,0,3,178.028,0.317289,20.3053,44.3035,44.7451,44.5779,44.3304,0.914976,199.595,1.34218e+08,5.36871e+08
CuFFT,Inplace,Complex,double,1,1,8388607,0,0,4,178.074,0.312913,20.2928,44.2598,44.7418,44.6741,44.3163,0.897303,199.606,1.34218e+08,5.36871e+08
CuFFT,Inplace,Complex,double,1,1,8388608,0,0,0,103.065,0.288524,1.14775,44.2392,7.23539,7.19597,44.3198,0.481923,105.264,1.34218e+08,1.34218e+08
CuFFT,Inplace,Complex,double,1,1,8388608,0,0,1,103.178,0.310019,1.15555,44.3834,7.26662,7.19565,44.2557,0.485977,105.413,1.34218e+08,1.34218e+08
CuFFT,Inplace,Complex,double,1,1,8388608,0,0,2,103.116,0.311848,1.18819,44.2261,7.23478,7.19603,44.3825,0.45569,105.407,1.34218e+08,1.34218e+08
CuFFT,Inplace,Complex,double,1,1,8388608,0,0,3,103.072,0.29284,1.15944,44.1487,7.25536,7.19632,44.3905,0.48178,105.307,1.34218e+08,1.34218e+08
CuFFT,Inplace,Complex,double,1,1,8388608,0,0,4,103.156,0.315005,1.2005,44.3276,7.25232,7.18624,44.3204,0.506121,105.538,1.34218e+08,1.34218e+08
CuFFT,Inplace,Complex,double,1,1,16777213,0,0,0,350.983,0.453035,38.8276,88.3412,86.6239,86.5193,89.4199,1.09913,391.614,2.68435e+08,1.07374e+09
CuFFT,Inplace,Complex,double,1,1,16777213,0,0,1,350.856,0.45577,38.8522,88.2902,86.5696,86.5457,89.3618,1.12486,391.554,2.68435e+08,1.07374e+09
CuFFT,Inplace,Complex,double,1,1,16777213,0,0,2,351.074,0.428162,38.7271,88.2081,86.5814,86.5657,89.6374,1.09897,391.622,2.68435e+08,1.07374e+09
CuFFT,Inplace,Complex,double,1,1,16777213,0,0,3,351.526,0.452245,38.6294,88.3756,86.7428,86.5399,89.7869,1.11083,391.75,2.68435e+08,1.07374e+09
CuFFT,Inplace,Complex,double,1,1,16777213,0,0,4,350.765,0.453696,38.4789,88.1661,86.569,86.5806,89.3758,1.10735,390.836,2.68435e+08,1.07374e+09
CuFFT,Inplace,Complex,double,1,1,16777216,0,0,0,205.306,0.421616,1.34565,88.2679,13.8547,13.8281,89.2763,0.532542,207.943,2.68435e+08,2.68435e+08
CuFFT,Inplace,Complex,double,1,1,16777216,0,0,1,205.737,0.415311,1.29643,88.4301,13.8564,13.8071,89.5655,0.508872,208.294,2.68435e+08,2.68435e+08
CuFFT,Inplace,Complex,double,1,1,16777216,0,0,2,205.604,0.451038,1.29616,88.4034,13.8739,13.8103,89.4329,0.503677,208.138,2.68435e+08,2.68435e+08
CuFFT,Inplace,Complex,double,1,1,16777216,0,0,3,206.214,0.443124,1.26908,88.4181,13.9056,13.8273,89.9869,0.506673,208.737,2.68435e+08,2.68435e+08
CuFFT,Inplace,Complex,double,1,1,16777216,0,0,4,206.153,0.430308,1.39422,88.6202,13.9328,13.8315,89.6926,0.538662,208.815,2.68435e+08,2.68435e+08
CuFFT,Inplace,Complex,double,2,1,511,513,0,0,4.09117,0.171412,1.04868,1.44963,0.605664,0.591456,1.38851,0.284163,5.82119,4.19429e+06,4.19429e+06
