; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5759, "MemoryFree [MiB]", 5673, "MemClock [MHz]", 2600, "GPUClock [MHz]", 732, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 14.4764
; "Time_ContextDestroy [ms]", 130.6
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Inplace,Complex,float,1,1,262144,0,0,0,1.95962,0.165669,1.01,0.827456,0.129504,0.115424,0.831648,0.269655,3.42603,2.09715e+06,2.09715e+06
CuFFT,Inplace,Complex,float,1,1,262144,0,0,1,1.95405,0.17365,1.03716,0.821376,0.127456,0.11552,0.8376,0.283359,3.46753,2.09715e+06,2.09715e+06
CuFFT,Inplace,Complex,float,1,1,262144,0,0,2,1.96125,0.164772,1.01126,0.8296,0.127776,0.119488,0.82256,0.274002,3.43493,2.09715e+06,2.09715e+06
CuFFT,Inplace,Complex,float,1,1,262144,0,0,3,1.96358,0.163771,1.04953,0.825184,0.12912,0.115744,0.841696,0.277442,3.47391,2.09715e+06,2.09715e+06
CuFFT,Inplace,Complex,float,1,1,262144,0,0,4,1.97072,0.166629,1.02014,0.825664,0.128736,0.115008,0.837472,0.269688,3.44811,2.09715e+06,2.09715e+06
CuFFT,Inplace,Complex,float,1,1,265841,0,0,0,3.37411,0.175836,36.1674,0.818784,0.823744,0.804928,0.846688,0.543551,40.282,2.12673e+06,8.64051e+06
CuFFT,Inplace,Complex,float,1,1,265841,0,0,1,3.36733,0.174351,36.0846,0.824544,0.823136,0.80496,0.840416,0.549125,40.2016,2.12673e+06,8.64051e+06
CuFFT,Inplace,Complex,float,1,1,265841,0,0,2,3.37587,0.168006,36.1073,0.819872,0.8272,0.80208,0.858784,0.550919,40.2216,2.12673e+06,8.64051e+06
CuFFT,Inplace,Complex,float,1,1,265841,0,0,3,3.36461,0.168444,35.9235,0.820416,0.820448,0.811168,0.84336,0.571158,40.0486,2.12673e+06,8.64051e+06
CuFFT,Inplace,Complex,float,1,1,265841,0,0,4,3.35056,0.168291,35.9798,0.823584,0.818656,0.808128,0.837024,0.534194,40.0532,2.12673e+06,8.64051e+06
