; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5699, "MemoryFree [MiB]", 5631, "MemClock [MHz]", 2600, "GPUClock [MHz]", 784, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 68.0766
; "Time_ContextDestroy [ms]", 1006.51
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0,0.216793,0.432037,0.000146,0.015072,0.02432,0.016576,0.023232,0.157028,0.96974,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0,0.204217,0.463841,0.000148,0.014464,0.023744,0.016544,0.022464,0.158521,0.985122,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0,0.202008,0.452979,0.00016,0.014656,0.024,0.01824,0.02208,0.152512,0.97748,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0,0.199858,0.426963,0.000149,0.021344,0.024192,0.016544,0.023104,0.152154,0.949068,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0,0.199762,0.432865,0.000147,0.021888,0.024064,0.016672,0.022848,0.150232,0.952782,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0,0.207362,0.44546,0.000148,0.015808,0.048576,0.042496,0.024,0.153943,1.02242,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0,0.207021,0.446497,0.000148,0.015328,0.047872,0.041824,0.023808,0.15258,1.01991,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0,0.204702,0.446109,0.000147,0.015424,0.047808,0.042784,0.023648,0.15137,1.01698,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0,0.212137,0.544981,0.000146,0.015552,0.048352,0.041632,0.023904,0.165221,1.13735,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0,0.201968,0.438681,0.000148,0.015296,0.048,0.04272,0.029024,0.153007,1.01102,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0,0.202324,0.451539,0.000143,0.04704,0.065536,0.0568,0.049408,0.152962,1.11084,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0,0.213047,0.441333,0.000148,0.03984,0.06384,0.058656,0.049312,0.152767,1.11101,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0,0.203764,0.469207,0.000146,0.040416,0.064608,0.05792,0.049504,0.15058,1.13331,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0,0.201943,0.466512,0.000146,0.040576,0.06384,0.056896,0.049568,0.152661,1.11489,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0,0.206718,0.445596,0.000154,0.039648,0.064576,0.056736,0.049856,0.152701,1.10189,54872,54872,54872,70
