; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5699, "MemoryFree [MiB]", 5631, "MemClock [MHz]", 2600, "GPUClock [MHz]", 732, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1489866924,"CurrentTimeLocal","Sat Mar 18 20:55:24 2017"
; "Time_ContextCreate [ms]", 174.943127
; "Time_ContextDestroy [ms]", 315.739778
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Success",0.208873,0.466185,0.00016,0.016736000776,0.024639999494,0.016192000359,0.022239999846,0.15389,0.966565,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Success",0.207626,0.437004,0.000158,0.015839999542,0.024288000539,0.017279999331,0.023231999949,0.15483,0.946366,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.199456,0.44023,0.00016,0.017119999975,0.024576000869,0.016160000116,0.022752000019,0.154133,0.934532,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.204264,0.435656,0.00016,0.016160000116,0.024768000469,0.015904000029,0.022624000907,0.153862,0.939788,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.205704,0.437837,0.000158,0.015680000186,0.024895999581,0.016736000776,0.022624000907,0.1536,0.946673,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.211574,0.429179,0.00016,0.016192000359,0.024095999077,0.017599999905,0.023360000923,0.154934,0.943549,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.216666,0.462773,0.000158,0.014592000283,0.024351999164,0.016031999141,0.021407999098,0.154988,0.975312,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.198921,0.460581,0.00016,0.016031999141,0.023264000192,0.016127999872,0.02208000049,0.152394,0.955937,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.19888,0.428211,0.000158,0.015680000186,0.024800000712,0.016287999228,0.022943999618,0.158636,0.933043,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.206705,0.427733,0.000158,0.015904000029,0.024351999164,0.017216000706,0.022816000506,0.162765,0.945264,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Success",0.206938,0.454658,0.00016,0.018400000408,0.050303999335,0.042176000774,0.024992000312,0.156059,1.013278,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Success",0.206638,0.448352,0.000158,0.016863999888,0.049215998501,0.041407998651,0.024831999093,0.15557,1.009679,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.2056,0.450457,0.00016,0.016640000045,0.049568001181,0.041535999626,0.024127999321,0.153728,1.009055,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.21557,0.476161,0.000156,0.017055999488,0.048703998327,0.043072000146,0.02236800082,0.152788,1.032172,2888,2888,2888
