; "ClFFT Informations","Device","Tesla K20Xm","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","14"
; "Time_ContextCreate [ms]", 232.775
; "Time_ContextDestroy [ms]", 35.9859
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,double,2,1,512,512,0,0,4.7565,0.002097,6.63442,1.622,1.12769,0.609687,1.39582,0.306849,11.7008,4.1943e+06,4.1943e+06
ClFFT,Inplace,Complex,double,2,1,512,512,0,1,4.68489,0.00209,6.74908,1.6277,1.04148,0.62467,1.38983,0.289808,11.7268,4.1943e+06,4.1943e+06
ClFFT,Inplace,Complex,double,2,1,512,512,0,2,4.64234,0.002118,6.97414,1.62324,1.00125,0.626374,1.39023,0.29028,11.9098,4.1943e+06,4.1943e+06
ClFFT,Inplace,Complex,double,2,1,512,512,0,3,4.63642,0.002219,6.69554,1.62005,0.994953,0.626663,1.39363,0.298856,11.634,4.1943e+06,4.1943e+06
ClFFT,Inplace,Complex,double,2,1,512,512,0,4,4.72428,0.002246,6.66384,1.62385,1.08666,0.625694,1.3868,0.324967,11.7163,4.1943e+06,4.1943e+06
ClFFT,Inplace,Complex,double,2,1,1024,1024,0,0,17.9964,0.002502,10.5887,5.82014,3.76584,3.18668,5.22254,0.355454,28.944,1.67772e+07,1.67772e+07
ClFFT,Inplace,Complex,double,2,1,1024,1024,0,1,18.0644,0.002447,10.568,5.8158,3.84191,3.17994,5.2256,0.357111,28.993,1.67772e+07,1.67772e+07
ClFFT,Inplace,Complex,double,2,1,1024,1024,0,2,18.0984,0.00244,10.5663,5.78657,3.8997,3.17405,5.23686,0.335502,29.0035,1.67772e+07,1.67772e+07
ClFFT,Inplace,Complex,double,2,1,1024,1024,0,3,17.8673,0.002221,10.6402,5.79372,3.71056,3.1543,5.20755,0.348305,28.859,1.67772e+07,1.67772e+07
ClFFT,Inplace,Complex,double,2,1,1024,1024,0,4,17.9231,0.002236,10.5752,5.76984,3.78549,3.16884,5.19781,0.350953,28.8525,1.67772e+07,1.67772e+07
