; "ClFFT Informations","Device","Tesla K80","Hardware","OpenCL 1.2 CUDA","Software","367.48","OpenCL","OpenCL C 1.2 ","UsedComputeUnits","13","MaxGlobalMemSize","11995578368","clFFT","2.12.2"
; "Time_ContextCreate [ms]", 1183.87
; "Time_ContextDestroy [ms]", 2885.61
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,152,0,0,68
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,2888,0,0,69
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,54872,0,0,70
"ClFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,1.04257e+06,0,0,71
"ClFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"ClFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"ClFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"ClFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"ClFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,1.98088e+07,0,0,72
"ClFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"ClFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"ClFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"ClFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"ClFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,"Unsupported lengths.",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"ClFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"ClFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"ClFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"ClFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"ClFFT","Inplace","Complex","float",2,"radix357",3,3,0,0,"Success",0,0.001876,0.509785,0.002852,0.019521,0.053549,0.040296,0.057963,0.178639,0.865414,72,72,72,29
"ClFFT","Inplace","Complex","float",2,"radix357",3,3,0,1,"Success",0,0.001904,0.511383,0.00292,0.019501,0.054262,0.033078,0.056654,0.18151,0.862118,72,72,72,29
"ClFFT","Inplace","Complex","float",2,"radix357",3,3,0,2,"Success",0,0.001562,0.511686,0.002794,0.021152,0.053135,0.033476,0.056664,0.181168,0.862554,72,72,72,29
"ClFFT","Inplace","Complex","float",2,"radix357",3,3,0,3,"Success",0,0.001681,0.514457,0.002865,0.019319,0.054154,0.032685,0.056675,0.17674,0.859477,72,72,72,29
"ClFFT","Inplace","Complex","float",2,"radix357",3,3,0,4,"Success",0,0.001494,0.508563,0.002856,0.019269,0.052926,0.033908,0.055984,0.17531,0.851185,72,72,72,29
"ClFFT","Inplace","Complex","float",2,"radix357",5,5,0,0,"Success",0,0.00179,0.615122,0.002851,0.019163,0.053225,0.033892,0.05746,0.17641,0.960809,200,200,200,47
"ClFFT","Inplace","Complex","float",2,"radix357",5,5,0,1,"Success",0,0.001798,0.622505,0.002855,0.019593,0.054794,0.032941,0.056177,0.176094,0.967669,200,200,200,47
"ClFFT","Inplace","Complex","float",2,"radix357",5,5,0,2,"Success",0,0.001824,0.612064,0.002872,0.019492,0.053551,0.032519,0.055445,0.180432,0.959085,200,200,200,47
"ClFFT","Inplace","Complex","float",2,"radix357",5,5,0,3,"Success",0,0.001947,0.610887,0.002791,0.019596,0.054022,0.033116,0.055935,0.181167,0.960376,200,200,200,47
"ClFFT","Inplace","Complex","float",2,"radix357",5,5,0,4,"Success",0,0.001887,0.611824,0.002766,0.019424,0.054037,0.033318,0.059417,0.177297,0.960872,200,200,200,47
"ClFFT","Inplace","Complex","float",2,"radix357",3,9,0,0,"Success",0,0.001856,0.713438,0.002921,0.022333,0.058708,0.036032,0.062463,0.187252,1.08595,216,216,216,30
"ClFFT","Inplace","Complex","float",2,"radix357",3,9,0,1,"Success",0,0.001955,0.717171,0.002802,0.021853,0.059026,0.041799,0.063176,0.188218,1.09703,216,216,216,30
"ClFFT","Inplace","Complex","float",2,"radix357",3,9,0,2,"Success",0,0.001715,0.71946,0.002833,0.021579,0.059437,0.036409,0.062992,0.187552,1.09289,216,216,216,30
"ClFFT","Inplace","Complex","float",2,"radix357",3,9,0,3,"Success",0,0.001784,0.722774,0.002801,0.022274,0.060317,0.034637,0.061124,0.187313,1.09398,216,216,216,30
"ClFFT","Inplace","Complex","float",2,"radix357",3,9,0,4,"Success",0,0.002464,0.725774,0.002916,0.02168,0.064196,0.034818,0.059539,0.184451,1.09678,216,216,216,30
"ClFFT","Inplace","Complex","float",2,"radix357",7,7,0,0,"Success",0,0.002347,0.726268,0.002914,0.021196,0.064094,0.037068,0.064677,0.198498,1.11802,392,392,392,59
"ClFFT","Inplace","Complex","float",2,"radix357",7,7,0,1,"Success",0,0.002244,0.721144,0.00293,0.01971,0.064369,0.036831,0.065129,0.198371,1.11166,392,392,392,59
"ClFFT","Inplace","Complex","float",2,"radix357",7,7,0,2,"Success",0,0.002123,0.715671,0.002883,0.021089,0.064404,0.037417,0.06414,0.203305,1.11205,392,392,392,59
"ClFFT","Inplace","Complex","float",2,"radix357",7,7,0,3,"Success",0,0.002422,0.717342,0.002955,0.021964,0.064566,0.037261,0.06503,0.19926,1.11186,392,392,392,59
"ClFFT","Inplace","Complex","float",2,"radix357",7,7,0,4,"Success",0,0.001806,0.733107,0.002954,0.020211,0.062627,0.036708,0.064335,0.195947,1.11871,392,392,392,59
"ClFFT","Inplace","Complex","float",2,"radix357",5,25,0,0,"Success",0,0.002135,0.907827,0.002845,0.019192,0.060555,0.033375,0.056581,0.176234,1.25961,1000,1000,1000,48
"ClFFT","Inplace","Complex","float",2,"radix357",5,25,0,1,"Success",0,0.001943,0.910358,0.002851,0.019256,0.055574,0.033387,0.056404,0.175802,1.25646,1000,1000,1000,48
"ClFFT","Inplace","Complex","float",2,"radix357",5,25,0,2,"Success",0,0.001606,0.922996,0.002818,0.019089,0.054849,0.033645,0.056275,0.175418,1.26757,1000,1000,1000,48
"ClFFT","Inplace","Complex","float",2,"radix357",5,25,0,3,"Success",0,0.002005,0.90601,0.002805,0.024267,0.056324,0.033297,0.054588,0.175613,1.25576,1000,1000,1000,48
"ClFFT","Inplace","Complex","float",2,"radix357",5,25,0,4,"Success",0,0.001893,0.913711,0.002767,0.019123,0.053884,0.03325,0.054993,0.180976,1.26145,1000,1000,1000,48
"ClFFT","Inplace","Complex","float",2,"radix357",7,49,0,0,"Success",0,0.002743,1.18013,0.002979,0.179245,0.076256,0.042191,0.073505,0.356735,1.91499,2744,2744,2744,60
"ClFFT","Inplace","Complex","float",2,"radix357",7,49,0,1,"Success",0,0.002212,1.17376,0.002988,0.186063,0.076002,0.042232,0.073271,0.351833,1.9096,2744,2744,2744,60
"ClFFT","Inplace","Complex","float",2,"radix357",7,49,0,2,"Success",0,0.002285,1.17139,0.002919,0.177621,0.077091,0.041404,0.073682,0.377109,1.92476,2744,2744,2744,60
"ClFFT","Inplace","Complex","float",2,"radix357",7,49,0,3,"Success",0,0.002218,1.15369,0.002988,0.17252,0.074717,0.041766,0.070756,0.343971,1.86377,2744,2744,2744,60
"ClFFT","Inplace","Complex","float",2,"radix357",7,49,0,4,"Success",0,0.002188,1.16203,0.002936,0.1735,0.074962,0.040923,0.075159,0.346114,1.87902,2744,2744,2744,60
"ClFFT","Inplace","Complex","float",2,"oddshape",19,19,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,2888,0,0,68
"ClFFT","Inplace","Complex","float",2,"oddshape",19,19,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",2,"oddshape",19,19,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",2,"oddshape",19,19,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",2,"oddshape",19,19,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"ClFFT","Inplace","Complex","float",2,"oddshape",19,361,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,54872,0,0,69
"ClFFT","Inplace","Complex","float",2,"oddshape",19,361,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",2,"oddshape",19,361,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",2,"oddshape",19,361,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",2,"oddshape",19,361,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ClFFT","Inplace","Complex","float",2,"oddshape",361,361,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,1.04257e+06,0,0,70
"ClFFT","Inplace","Complex","float",2,"oddshape",361,361,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",2,"oddshape",361,361,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",2,"oddshape",361,361,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",2,"oddshape",361,361,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"ClFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,0,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:335 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_.data())",0,0,0,0,0,0,0,0,0,0,1.98088e+07,0,0,71
"ClFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"ClFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"ClFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
