; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11519, "MemoryFree [MiB]", 11430, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 25.5012
; "Time_ContextDestroy [ms]", 150.081
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,0,"Success",2.36191,0.152538,21.0265,0.273632,0.844576,0.83024,0.358304,0.662209,24.2038,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,1,"Success",2.35839,0.153469,21.0216,0.273024,0.839936,0.831872,0.358144,0.662991,24.1971,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,2,"Success",2.35595,0.152927,21.0689,0.273408,0.841536,0.83008,0.35552,0.666751,24.2452,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,3,"Success",2.35231,0.152578,21.0507,0.27312,0.834016,0.830048,0.358016,0.662429,24.2187,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",265841,0,0,4,"Success",2.3548,0.152919,21.0451,0.2736,0.839264,0.83072,0.35552,0.666878,24.2204,2.12673e+06,8.64051e+06,2.12673e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,0,"Success",8.51455,0.156192,72.8764,0.959392,3.28506,3.2456,0.95824,0.708844,82.2567,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,1,"Success",8.50151,0.159458,72.8896,0.93856,3.27734,3.2439,0.98048,0.717905,82.2692,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,2,"Success",8.50049,0.156693,72.9654,0.943232,3.26982,3.24851,0.974816,0.716212,82.3396,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,3,"Success",8.48946,0.161127,72.7312,0.939552,3.26736,3.23702,0.98064,0.710433,82.093,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",1048577,0,0,4,"Success",8.51536,0.15716,73.3079,0.941376,3.26621,3.24672,0.996416,0.707881,82.6891,8.38862e+06,3.35933e+07,8.38862e+06
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,0,"Success",17.1685,0.164364,154.402,1.87078,6.70227,6.69053,1.8391,0.717593,172.454,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,1,"Success",17.1644,0.158999,154.12,1.88256,6.6961,6.70512,1.81165,0.715787,172.161,1.67772e+07,6.71846e+07,1.67772e+07
"CuFFT","Inplace","Complex","float",1,"oddshape",2097153,0,0,2,"Success",17.3498,0.162931,154.693,1.87843,6.70637,6.67738,2.01958,0.715696,172.922,1.67772e+07,6.71846e+07,1.67772e+07
