; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 159.072
; "Time_ContextDestroy [ms]", 251.036
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0,0.230356,0.639498,9.4e-05,0.011296,0.016352,0.010272,0.017664,0.185078,1.17618,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0,0.224733,0.645357,9.7e-05,0.011296,0.015648,0.00944,0.017792,0.178994,1.16867,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0,0.224678,0.641898,8.7e-05,0.011328,0.015808,0.00816,0.017536,0.178224,1.16237,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0,0.22473,0.641822,8.8e-05,0.011296,0.016032,0.009824,0.017536,0.178183,1.16394,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0,0.224364,0.638259,9.6e-05,0.0112,0.015776,0.010016,0.017536,0.17826,1.16353,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0,0.224777,0.690596,8.9e-05,0.011232,0.029184,0.023808,0.017664,0.177946,1.23775,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0,0.227018,0.651822,9.7e-05,0.011744,0.0288,0.023072,0.018048,0.178424,1.2044,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0,0.224554,0.648553,8.9e-05,0.011712,0.02864,0.023008,0.018176,0.178364,1.19761,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0,0.224005,0.645097,9.3e-05,0.011488,0.03248,0.023264,0.018208,0.17774,1.19736,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0,0.226449,0.64432,9e-05,0.011552,0.028416,0.023232,0.0184,0.192769,1.2104,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0,0.237673,0.646061,8.8e-05,0.022528,0.038048,0.032256,0.029152,0.180039,1.25411,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0,0.230544,0.645396,9.2e-05,0.025728,0.038048,0.032,0.029024,0.182248,1.24909,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0,0.224588,0.648832,8.8e-05,0.022816,0.037632,0.031872,0.029184,0.178596,1.23859,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0,0.223553,0.647377,8.7e-05,0.0224,0.037568,0.032416,0.029088,0.178183,1.23636,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0,0.225329,0.647665,8.7e-05,0.02256,0.037248,0.031744,0.029024,0.178696,1.23764,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"Success",0,0.234101,0.866592,8.7e-05,0.178944,0.149088,0.14,0.232512,0.346427,2.21566,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Success",0,0.233131,0.867876,8.7e-05,0.175392,0.150912,0.142176,0.231744,0.345929,2.21517,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Success",0,0.233298,0.868586,8.8e-05,0.175744,0.148416,0.14048,0.231904,0.343398,2.20975,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Success",0,0.230933,0.867999,9.5e-05,0.175744,0.149344,0.140896,0.2368,0.339532,2.2094,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,"Success",0,0.228383,0.859751,8.8e-05,0.175168,0.150304,0.140864,0.235392,0.335501,2.19259,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,"Success",0,0.265347,0.877507,8.9e-05,1.86986,2.52416,2.51034,2.47574,0.360402,10.9564,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,"Success",0,0.283786,0.885757,8.7e-05,1.8505,2.52602,2.50906,2.49862,0.365801,10.9989,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,"Success",0,0.282669,0.880022,8.9e-05,1.85363,2.52301,2.51254,2.49587,0.367034,10.9927,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,"Success",0,0.281152,0.878167,8e-05,1.85818,2.52438,2.512,2.49171,0.367261,10.9919,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,"Success",0,0.281291,0.881006,8.3e-05,1.85696,2.52646,2.51178,2.48749,0.372915,10.995,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,"Success",0,1.01248,1.25168,9.2e-05,40.1452,56.1086,56.0965,33.7805,0.586291,189.076,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,"Success",0,1.03945,1.25602,9e-05,40.1673,56.1029,56.0886,33.5916,0.593192,188.935,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,"Success",0,1.04855,1.25584,8.9e-05,40.0652,56.1015,56.0981,33.5868,0.585532,188.838,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,"Success",0,1.0373,1.26805,9.2e-05,40.2771,56.102,56.0901,33.5828,0.612668,189.064,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,"Success",0,1.03411,1.25627,9.4e-05,40.1547,56.098,56.0881,33.7799,0.591369,189.101,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,0,"Success",0,0.229171,0.666583,0.000104,0.011296,0.033632,0.026624,0.01824,0.183684,1.23745,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,1,"Success",0,0.229643,0.668719,0.000102,0.011232,0.033984,0.026336,0.018208,0.183565,1.24033,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,2,"Success",0,0.229152,0.66795,8.8e-05,0.01152,0.03392,0.02656,0.01824,0.182354,1.2374,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,3,"Success",0,0.22756,0.665533,8.6e-05,0.011456,0.0336,0.025696,0.017984,0.18184,1.23191,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,4,"Success",0,0.227759,0.662961,8e-05,0.011392,0.033888,0.026688,0.018528,0.182122,1.23492,72,72,72,29
