; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1495251900,"CurrentTimeLocal","Sat May 20 05:45:00 2017","Hostname","taurusi2053"
; "Time_ContextCreate [ms]", 395.309819
; "Time_ContextDestroy [ms]", 235.706771
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.304023,0.796993,0.000148,0.015359999612,0.028736000881,0.013952000067,0.024224000052,0.239572,1.489708,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.296728,0.794761,0.000154,0.015072000213,0.02284800075,0.014527999796,0.023520000279,0.237019,1.47132,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.296408,0.798852,0.00017,0.015168000013,0.023072000593,0.013279999606,0.023296000436,0.24448,1.481604,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.297092,0.799081,0.000166,0.015615999699,0.022784000263,0.013024000451,0.023423999548,0.238548,1.476553,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.305405,0.798557,0.00014,0.015519999899,0.022879999131,0.01360000018,0.023647999391,0.238826,1.486178,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.29324,0.792879,0.000168,0.015776000917,0.022495999932,0.013728000224,0.023231999949,0.240598,1.468499,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.292952,0.792795,0.000166,0.015807999298,0.022816000506,0.013120000251,0.023135999218,0.234206,1.460981,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.297214,0.786803,0.000154,0.015552000143,0.022112000734,0.012896000408,0.02284800075,0.238783,1.46256,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.29731,0.796754,0.000154,0.016063999385,0.023008000106,0.013472000137,0.023520000279,0.235534,1.472088,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.300515,0.797073,0.000168,0.015584000386,0.022975999862,0.014143999666,0.023391999304,0.23625,1.476172,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.295308,0.796707,0.00015,0.014911999926,0.023104000837,0.013663999736,0.023455999792,0.23467,1.467754,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.29835,0.802561,0.00015,0.015456000343,0.02332800068,0.014208000153,0.024032000452,0.24043,1.487315,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.307301,0.821333,0.000162,0.01600000076,0.070624001324,0.037919998169,0.026048000902,0.242322,1.58877,2888,2888,2888
