; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1495254169,"CurrentTimeLocal","Sat May 20 06:22:49 2017","Hostname","taurusi2078"
; "Time_ContextCreate [ms]", 431.11168
; "Time_ContextDestroy [ms]", 154.918894
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Warmup",0.370775,0.945712,1.329497,7.2835841179,4.0982718468,4.0743999481,6.540063858,0.378479,25.088431,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Warmup",0.372772,0.947441,1.329006,7.2733120918,4.1098241806,4.0724158287,6.7250242233,0.386754,25.285103,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0.3748,0.949442,1.316594,7.3527679443,4.1026239395,4.0706558228,6.531648159,0.389638,25.156583,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0.375482,0.947622,1.328603,7.2642879486,4.1074237823,4.0740799904,6.5383038521,0.382709,25.085928,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0.374632,0.94773,1.363554,7.2750082016,4.1181759834,4.0747518539,6.5295357704,0.38086,25.133687,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0.376329,0.947779,1.328732,7.2645759583,4.1146559715,4.0757441521,6.6431999207,0.383183,25.204713,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0.373351,0.949028,1.337537,7.2719678879,4.1021761894,4.067679882,6.5318398476,0.381445,25.084854,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0.396628,0.947697,1.334548,7.2716479301,4.0997757912,4.0657601357,6.5296320915,0.383214,25.097862,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0.373099,0.948403,1.323049,7.2828798294,4.1048960686,4.0819201469,6.5360321999,0.383737,25.100796,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",0.375335,0.948181,1.333147,7.2848639488,4.0960640907,4.0804481506,6.5351681709,0.387254,25.107452,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,10,0,"Success",0.374352,0.949339,1.330211,7.2816638947,4.0994238853,4.0906558037,6.5798401833,0.384656,25.156811,67108872,67108864,67108864
