; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1495254184,"CurrentTimeLocal","Sat May 20 06:23:04 2017","Hostname","taurusi2078"
; "Time_ContextCreate [ms]", 47.306094
; "Time_ContextDestroy [ms]", 152.838387
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,0,"Warmup",0.226378,0.865366,1.045072,0.012384000234,0.034207999706,0.035936001688,0.020128000528,0.334146,2.632112,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,0,"Warmup",0.226196,0.865911,1.047063,0.012384000234,0.034175999463,0.034944001585,0.019967999309,0.338473,2.637158,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,0,"Success",0.395754,0.865507,1.04802,0.01244799979,0.035232000053,0.035392001271,0.020223999396,0.333346,2.808673,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,0,"Success",0.226482,1.065341,1.052284,0.012671999633,0.035872001201,0.035487998277,0.020223999396,0.334203,2.840788,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,0,"Success",0.228026,0.865516,1.13487,0.01254399959,0.034591998905,0.036928001791,0.021759999916,0.335536,2.726778,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,0,"Success",0.22769,0.865754,1.047334,0.01254399959,0.034784000367,0.035328000784,0.019840000197,0.33518,2.636844,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,0,"Success",0.226091,0.865557,1.046245,0.012608000077,0.034976001829,0.035135999322,0.019807999954,0.334319,2.63263,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,0,"Success",0.229074,0.86178,1.051063,0.012640000321,0.034175999463,0.035615999252,0.020096000284,0.333968,2.636829,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,0,"Success",0.226066,0.865769,1.047093,0.012671999633,0.034175999463,0.035360001028,0.020128000528,0.334077,2.633952,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,0,"Success",0.22592,0.865134,1.045419,0.012671999633,0.034623999149,0.035199999809,0.02006400004,0.333239,2.630178,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,0,"Success",0.225769,0.865807,1.046137,0.012480000034,0.034175999463,0.034816000611,0.020128000528,0.339293,2.636203,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,0,"Success",0.229834,0.861271,1.045955,0.012575999834,0.038911998272,0.036543998867,0.02006400004,0.333207,2.634954,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,1,"Warmup",0.230337,0.868224,1.056589,0.012608000077,0.035039998591,0.035615999252,0.020128000528,0.3353,2.651929,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,1,"Warmup",0.226197,0.865982,1.059761,0.01254399959,0.034880001098,0.036511998624,0.02054399997,0.34271,2.65819,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,1,"Success",0.232617,0.870571,1.056463,0.01254399959,0.041439998895,0.036320000887,0.02025599964,0.339197,2.668428,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,1,"Success",0.228751,0.874762,1.05367,0.01292799972,0.035103999078,0.035967998207,0.020352000371,0.335824,2.656091,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,1,"Success",0.22701,0.866996,1.047637,0.01244799979,0.034272000194,0.035679999739,0.020416000858,0.338526,2.640494,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,1,"Success",0.226116,0.864815,1.047637,0.012640000321,0.034464001656,0.035583999008,0.019904000685,0.338451,2.637335,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,1,"Success",0.228954,0.86447,1.045378,0.012768000364,0.034816000611,0.036320000887,0.019936000928,0.33349,2.632876,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,1,"Success",0.225328,0.88066,1.045866,0.01283199992,0.042047999799,0.035615999252,0.019936000928,0.334235,2.655888,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,1,"Success",0.231459,0.900906,1.077407,0.011711999774,0.035264000297,0.035232000053,0.019168000668,0.338981,2.703769,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,1,"Success",0.22956,0.860857,1.045413,0.013248000294,0.034816000611,0.035424001515,0.02006400004,0.33452,2.631758,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,1,"Success",0.228567,0.866787,1.048761,0.012608000077,0.035007998347,0.035615999252,0.020447999239,0.334555,2.640079,4104,4096,4096
