"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1495254185,"CurrentTimeLocal","Sat May 20 06:23:05 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Success",0.391977,1.0234,1.28134,7.15318,4.09094,4.05725,6.68355,0.376492,25.127,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Success",0.381628,1.00157,1.29098,7.36275,4.09498,4.07056,6.51306,0.374419,25.1557,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0.385645,0.998731,1.28074,7.15354,4.09674,4.07766,6.51309,0.371098,24.9444,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0.380119,1.00054,1.28409,7.17958,4.09693,4.07475,6.51843,0.372181,24.9727,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0.384509,1.00198,1.29155,7.16659,4.10272,4.07107,6.51565,0.37206,24.9736,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0.380732,0.999571,1.28414,7.15693,4.10944,4.06518,6.51232,0.394498,24.9697,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0.396589,1.01752,1.31515,7.1969,4.10557,4.07664,6.56637,0.381374,25.125,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0.397104,1.02249,1.32762,7.17216,4.10134,4.08394,6.5695,0.378206,25.1222,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0.391501,1.02506,1.32878,7.19462,4.10614,4.06442,6.5687,0.380469,25.1287,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",0.396037,1.02039,1.32065,7.19674,4.10189,4.0767,6.56995,0.383165,25.1335,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,1,"Success",0.398139,1.02218,1.32773,7.19597,4.09597,4.07584,6.56403,0.379526,25.1276,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,1,"Success",0.391244,1.01914,1.32466,7.20691,4.10221,4.07661,6.57034,0.383221,25.1438,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,1,"Success",0.396792,1.04066,1.3299,7.4408,4.10474,4.07526,6.67821,0.391809,25.5321,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,1,"Success",0.411334,1.0613,1.37823,7.46768,4.11152,4.07942,6.72438,0.600269,25.9064,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,1,"Success",0.395885,1.08436,1.30571,7.31578,4.10054,4.06973,6.56566,0.381895,25.2877,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,1,"Success",0.383915,1.02332,1.32526,7.21315,4.10109,4.08627,6.56554,0.378064,25.1444,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,1,"Success",0.385544,1.02285,1.32862,7.20211,4.09318,4.07392,6.56899,0.389346,25.1334,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,1,"Success",0.394793,1.01374,1.31992,7.21347,4.10374,4.07645,6.56899,0.384586,25.1432,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,1,"Success",0.402191,1.05815,1.31866,7.20829,4.10266,4.07379,6.55808,0.385154,25.1765,67108872,0,0
