"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1495254817,"CurrentTimeLocal","Sat May 20 06:33:37 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,0,"Success",0.225289,0.875048,1.0513,0.012512,0.035872,0.036032,0.020512,0.341495,2.65802,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,0,"Success",0.230856,0.87133,1.05139,0.012512,0.035552,0.036192,0.020384,0.335939,2.65365,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,0,"Success",0.226547,0.878026,1.05678,0.012928,0.035488,0.03584,0.02064,0.337436,2.66321,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,0,"Success",0.228184,0.876615,1.04958,0.012512,0.035264,0.035264,0.020096,0.339044,2.65594,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,0,"Success",0.228637,0.866954,1.05012,0.012544,0.034912,0.035616,0.020672,0.335489,2.64612,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,0,"Success",0.224469,0.871241,1.04907,0.012576,0.034976,0.035008,0.020192,0.334771,2.64168,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,0,"Success",0.224695,0.872238,1.04929,0.012448,0.03536,0.035616,0.02,0.339818,2.6493,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,7,0,"Success",0.223915,0.870601,1.04843,0.012448,0.034464,0.0392,0.02032,0.334753,2.64361,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,0,"Success",0.225374,0.87163,1.04904,0.012352,0.035392,0.036,0.020224,0.335686,2.64577,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,0,"Success",0.224844,0.871811,1.04972,0.01216,0.034688,0.035584,0.02032,0.341241,2.64956,4104,0,0
