; "ClFFT Informations","Device","Tesla M2090","Hardware","OpenCL 1.1 CUDA","Software","352.79","OpenCL","OpenCL C 1.1 ","ComputeUnits","16"
; "Time_ContextCreate [ms]", 61.8571
; "Time_ContextDestroy [ms]", 3.35214
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,double,1,1,1024,0,0,0,0.183861,0.001704,4.38671,0.030572,0.065968,0.05854,0.02817,0.023199,4.59615,16384,0
ClFFT,Inplace,Complex,double,1,1,1024,0,0,1,0.182318,0.00188,4.37701,0.030449,0.065152,0.05828,0.027849,0.023067,4.58495,16384,0
ClFFT,Inplace,Complex,double,1,1,1024,0,0,2,0.18262,0.00182,4.38081,0.03071,0.064877,0.058728,0.027714,0.022709,4.58864,16384,0
ClFFT,Inplace,Complex,double,1,1,1024,0,0,3,0.181138,0.001881,4.38488,0.029684,0.064578,0.058293,0.027967,0.022918,4.5915,16384,0
ClFFT,Inplace,Complex,double,1,1,1024,0,0,4,0.182054,0.001869,4.3846,0.029905,0.064965,0.05891,0.027691,0.023,4.59217,16384,0
ClFFT,Inplace,Complex,double,3,2,32,32,32,0,0.806616,0.001919,2.41974,0.453295,0.074402,0.049358,0.22887,0.193522,3.42251,524288,16384
ClFFT,Inplace,Complex,double,3,2,32,32,32,1,0.80352,0.001808,2.40966,0.450685,0.073,0.048332,0.230786,0.191986,3.40768,524288,16384
ClFFT,Inplace,Complex,double,3,2,32,32,32,2,0.805968,0.001744,2.4024,0.453122,0.07373,0.048352,0.230091,0.191828,3.40264,524288,16384
ClFFT,Inplace,Complex,double,3,2,32,32,32,3,0.803865,0.001819,2.40511,0.451293,0.073618,0.0484,0.229863,0.193863,3.40538,524288,16384
ClFFT,Inplace,Complex,double,3,2,32,32,32,4,0.80556,0.001873,2.42152,0.453229,0.073938,0.048121,0.229581,0.191942,3.42161,524288,16384
ClFFT,Inplace,Complex,double,2,3,16,25,0,0,0.165611,0.001493,1.5863,0.025315,0.068393,0.04615,0.025092,0.043126,1.79728,6400,6400
ClFFT,Inplace,Complex,double,2,3,16,25,0,1,0.164652,0.001595,1.60074,0.025007,0.067314,0.04718,0.024535,0.042929,1.81058,6400,6400
ClFFT,Inplace,Complex,double,2,3,16,25,0,2,0.171203,0.001717,1.57945,0.024484,0.068103,0.053783,0.024205,0.043108,1.79615,6400,6400
ClFFT,Inplace,Complex,double,2,3,16,25,0,3,0.163353,0.001641,1.60009,0.024954,0.066563,0.047072,0.024136,0.042998,1.80875,6400,6400
ClFFT,Inplace,Complex,double,2,3,16,25,0,4,0.163911,0.001502,1.58632,0.024266,0.068103,0.047,0.02394,0.042784,1.79518,6400,6400
ClFFT,Inplace,Complex,double,3,3,27,25,49,0,1.00631,0.001568,2.08159,0.448167,0.265856,0.05061,0.240998,0.326354,3.41653,529200,21168
ClFFT,Inplace,Complex,double,3,3,27,25,49,1,1.00508,0.001873,2.0884,0.447624,0.264283,0.051057,0.241426,0.326262,3.42235,529200,21168
ClFFT,Inplace,Complex,double,3,3,27,25,49,2,1.009,0.001862,2.08083,0.449862,0.265433,0.050877,0.242069,0.331965,3.42439,529200,21168
ClFFT,Inplace,Complex,double,3,3,27,25,49,3,1.01252,0.001735,2.06507,0.448253,0.270877,0.050698,0.24199,0.324089,3.40409,529200,21168
ClFFT,Inplace,Complex,double,3,3,27,25,49,4,1.0096,0.001739,2.06678,0.452296,0.263179,0.049902,0.243524,0.330376,3.40921,529200,21168
ClFFT,Inplace,Real,double,1,1,1024,0,0,0,3.95641,0.001597,3.59081,0.026108,0.075288,0.071993,0.025927,0.022854,7.57239,8208,0
ClFFT,Inplace,Real,double,1,1,1024,0,0,1,3.95475,0.001636,3.58893,0.026196,0.075543,0.072596,0.025027,0.022619,7.56862,8208,0
ClFFT,Inplace,Real,double,1,1,1024,0,0,2,3.94764,0.001648,3.58082,0.02619,0.075852,0.072141,0.023935,0.022617,7.55345,8208,0
ClFFT,Inplace,Real,double,1,1,1024,0,0,3,3.94694,0.00157,3.58593,0.026223,0.075785,0.07221,0.025135,0.022671,7.55781,8208,0
ClFFT,Inplace,Real,double,1,1,1024,0,0,4,3.95665,0.001587,3.58905,0.026599,0.076,0.071923,0.024894,0.022674,7.57066,8208,0
ClFFT,Inplace,Real,double,3,2,32,32,32,0,3.26561,0.00194,2.54678,0.33027,0.127383,0.081195,0.137364,0.19992,6.01502,278528,8704
ClFFT,Inplace,Real,double,3,2,32,32,32,1,3.27433,0.001771,2.55428,0.330841,0.127565,0.081658,0.136604,0.20001,6.03112,278528,8704
ClFFT,Inplace,Real,double,3,2,32,32,32,2,3.25901,0.001675,2.54107,0.331241,0.126274,0.081671,0.137001,0.206276,6.00879,278528,8704
ClFFT,Inplace,Real,double,3,2,32,32,32,3,3.27111,0.001665,2.54049,0.334479,0.127355,0.081721,0.141653,0.199806,6.01381,278528,8704
ClFFT,Inplace,Real,double,3,2,32,32,32,4,3.28199,0.001638,2.5448,0.331569,0.128266,0.082052,0.137866,0.199041,6.0282,278528,8704
ClFFT,Inplace,Real,double,2,3,16,25,0,0,2.13259,0.001837,1.58854,0.225317,0.11255,0.102631,0.024535,0.195078,3.9188,3600,3600
ClFFT,Inplace,Real,double,2,3,16,25,0,1,2.13075,0.001963,1.58042,0.225833,0.112181,0.101557,0.024361,0.194722,3.90862,3600,3600
ClFFT,Inplace,Real,double,2,3,16,25,0,2,2.12394,0.001592,1.57347,0.225197,0.119022,0.100867,0.024537,0.201015,3.90076,3600,3600
ClFFT,Inplace,Real,double,2,3,16,25,0,3,2.12681,0.001479,1.58599,0.231601,0.110424,0.101968,0.024883,0.196209,3.91122,3600,3600
ClFFT,Inplace,Real,double,2,3,16,25,0,4,2.12215,0.001985,1.59314,0.226985,0.112255,0.100891,0.024275,0.194395,3.91241,3600,3600
ClFFT,Inplace,Real,double,3,3,27,25,49,0,3.15484,0.001621,2.1955,0.40956,0.170237,0.114524,0.295215,0.203694,5.5564,274400,10976
ClFFT,Inplace,Real,double,3,3,27,25,49,1,3.12616,0.001586,2.19852,0.408889,0.16809,0.080156,0.29579,0.202833,5.52989,274400,10976
ClFFT,Inplace,Real,double,3,3,27,25,49,2,3.12351,0.001853,2.19007,0.409192,0.167282,0.080036,0.294677,0.203912,5.52014,274400,10976
ClFFT,Inplace,Real,double,3,3,27,25,49,3,3.10614,0.001575,2.18093,0.408078,0.159867,0.079855,0.293744,0.203511,5.49284,274400,10976
ClFFT,Inplace,Real,double,3,3,27,25,49,4,3.11045,0.001628,2.19771,0.408642,0.159879,0.080267,0.294757,0.202501,5.51304,274400,10976
ClFFT,Outplace,Complex,double,1,1,1024,0,0,0,0.189998,0.002786,4.39439,0.030654,0.070864,0.059327,0.028548,0.027834,4.61576,32768,0
ClFFT,Outplace,Complex,double,1,1,1024,0,0,1,0.189443,0.002891,4.39993,0.030751,0.070784,0.05917,0.028138,0.034612,4.62763,32768,0
