; "Tesla M2090", "CC", 2.0, "Multiprocessors", 16, "Memory [MiB]", 5375, "MemoryFree [MiB]", 5309, "MemClock [MHz]", 1848, "GPUClock [MHz]", 1301, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 12.7945
; "Time_ContextDestroy [ms]", 41.0713
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Inplace,Complex,double,1,1,1024,0,0,0,0.154336,0.21838,2.4872,0.021472,0.029376,0.021088,0.026176,0.193688,3.07246,16384,16384
CuFFT,Inplace,Complex,double,1,1,1024,0,0,1,0.154688,0.219334,2.53162,0.0216,0.029568,0.02112,0.026304,0.192374,3.11558,16384,16384
CuFFT,Inplace,Complex,double,1,1,1024,0,0,2,0.155008,0.226423,2.57068,0.021696,0.029312,0.020896,0.026912,0.200611,3.17152,16384,16384
CuFFT,Inplace,Complex,double,1,1,1024,0,0,3,0.155232,0.21953,2.52027,0.022176,0.02912,0.02128,0.026784,0.192567,3.10639,16384,16384
CuFFT,Inplace,Complex,double,1,1,1024,0,0,4,0.154624,0.219529,2.58166,0.021856,0.029568,0.020928,0.0264,0.191364,3.16604,16384,16384
CuFFT,Inplace,Complex,double,3,2,32,32,32,0,0.636928,0.218914,2.63803,0.239872,0.056128,0.047136,0.236928,0.200091,3.71297,524288,524288
CuFFT,Inplace,Complex,double,3,2,32,32,32,1,0.63744,0.219128,2.63531,0.240064,0.056384,0.047264,0.236704,0.200173,3.71092,524288,524288
CuFFT,Inplace,Complex,double,3,2,32,32,32,2,0.635712,0.219262,2.63662,0.238752,0.056096,0.047328,0.236832,0.20053,3.7109,524288,524288
CuFFT,Inplace,Complex,double,3,2,32,32,32,3,0.637312,0.219011,2.63674,0.239296,0.056192,0.0472,0.237536,0.194528,3.70688,524288,524288
CuFFT,Inplace,Complex,double,3,2,32,32,32,4,0.643456,0.220524,2.63486,0.24,0.056256,0.046944,0.243104,0.195079,3.71284,524288,524288
CuFFT,Inplace,Complex,double,2,3,16,25,0,0,0.183488,0.21791,2.5227,0.016768,0.051456,0.03648,0.02272,0.194433,3.13747,6400,6400
CuFFT,Inplace,Complex,double,2,3,16,25,0,1,0.177216,0.219096,2.5238,0.016928,0.045504,0.036256,0.02272,0.193663,3.13262,6400,6400
CuFFT,Inplace,Complex,double,2,3,16,25,0,2,0.177184,0.219099,2.5273,0.01696,0.045376,0.036256,0.022528,0.193784,3.13632,6400,6400
CuFFT,Inplace,Complex,double,2,3,16,25,0,3,0.178016,0.219521,2.52546,0.017184,0.045728,0.036256,0.022496,0.194314,3.13626,6400,6400
CuFFT,Inplace,Complex,double,2,3,16,25,0,4,0.178176,0.220163,2.52409,0.016736,0.046048,0.036384,0.022816,0.193693,3.13487,6400,6400
CuFFT,Inplace,Complex,double,3,3,27,25,49,0,0.707296,0.219964,2.85072,0.244192,0.08832,0.079104,0.237824,0.366541,4.16288,529200,529200
CuFFT,Inplace,Complex,double,3,3,27,25,49,1,0.711136,0.218958,2.84249,0.245984,0.088544,0.07952,0.239168,0.356755,4.14889,529200,529200
