; "Tesla M2090", "CC", 2.0, "Multiprocessors", 16, "Memory [MiB]", 5375, "MemoryFree [MiB]", 5309, "MemClock [MHz]", 1848, "GPUClock [MHz]", 1301, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 12.907
; "Time_ContextDestroy [ms]", 41.0741
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Inplace,Complex,float,1,1,1024,0,0,0,0.146304,0.218979,2.47512,0.017824,0.029344,0.021568,0.022816,0.194098,3.05347,8192,8192
CuFFT,Inplace,Complex,float,1,1,1024,0,0,1,0.146944,0.218922,2.48179,0.017728,0.029504,0.021344,0.023072,0.192372,3.05886,8192,8192
CuFFT,Inplace,Complex,float,1,1,1024,0,0,2,0.14784,0.219096,2.4749,0.018016,0.029472,0.021472,0.023616,0.193639,3.05445,8192,8192
CuFFT,Inplace,Complex,float,1,1,1024,0,0,3,0.149376,0.218867,2.47367,0.018016,0.02944,0.021344,0.022688,0.192942,3.05393,8192,8192
CuFFT,Inplace,Complex,float,1,1,1024,0,0,4,0.147552,0.220024,2.46937,0.01792,0.0296,0.021568,0.023264,0.199388,3.05412,8192,8192
CuFFT,Inplace,Complex,float,3,2,32,32,32,0,0.411808,0.220342,2.57035,0.130464,0.058432,0.03712,0.12928,0.196467,3.41825,262144,262144
CuFFT,Inplace,Complex,float,3,2,32,32,32,1,0.399968,0.22038,2.52141,0.130944,0.04816,0.03632,0.128352,0.196812,3.35781,262144,262144
CuFFT,Inplace,Complex,float,3,2,32,32,32,2,0.402304,0.221543,2.56601,0.131808,0.04816,0.03648,0.129152,0.195716,3.40464,262144,262144
CuFFT,Inplace,Complex,float,3,2,32,32,32,3,0.401504,0.21999,2.52689,0.132224,0.048448,0.036,0.128608,0.196097,3.36356,262144,262144
CuFFT,Inplace,Complex,float,3,2,32,32,32,4,0.407328,0.226933,2.56685,0.131936,0.048192,0.03632,0.1344,0.195326,3.41462,262144,262144
CuFFT,Inplace,Complex,float,2,3,16,25,0,0,0.161024,0.220451,2.5261,0.015168,0.040032,0.029504,0.021088,0.194748,3.12145,3200,3200
CuFFT,Inplace,Complex,float,2,3,16,25,0,1,0.16128,0.219499,2.52725,0.015328,0.040256,0.029568,0.021248,0.194479,3.12143,3200,3200
CuFFT,Inplace,Complex,float,2,3,16,25,0,2,0.161344,0.219313,2.51624,0.0152,0.04,0.029504,0.021184,0.195545,3.11137,3200,3200
CuFFT,Inplace,Complex,float,2,3,16,25,0,3,0.160608,0.21972,2.51561,0.015104,0.039872,0.029376,0.020896,0.193683,3.10843,3200,3200
CuFFT,Inplace,Complex,float,2,3,16,25,0,4,0.161312,0.219589,2.51883,0.015168,0.039872,0.029856,0.021088,0.194442,3.11316,3200,3200
CuFFT,Inplace,Complex,float,3,3,27,25,49,0,0.443488,0.219291,2.52965,0.131616,0.069184,0.057024,0.129568,0.198918,3.41028,264600,264600
CuFFT,Inplace,Complex,float,3,3,27,25,49,1,0.449568,0.229451,2.51718,0.131136,0.069472,0.057152,0.135552,0.197393,3.41266,264600,264600
CuFFT,Inplace,Complex,float,3,3,27,25,49,2,0.44992,0.219659,2.52924,0.137312,0.069536,0.057312,0.129696,0.197301,3.4152,264600,264600
CuFFT,Inplace,Complex,float,3,3,27,25,49,3,0.444032,0.21936,2.53436,0.13152,0.06976,0.057056,0.1296,0.202917,3.42003,264600,264600
CuFFT,Inplace,Complex,float,3,3,27,25,49,4,0.451264,0.220334,2.53236,0.131552,0.075744,0.057312,0.129728,0.196631,3.41839,264600,264600
CuFFT,Inplace,Real,float,1,1,1024,0,0,0,2.70234,0.219367,2.49982,0.015904,0.051296,0.045344,0.02272,0.19407,5.63462,4096,4096
CuFFT,Inplace,Real,float,1,1,1024,0,0,1,2.70979,0.218916,2.50295,0.015584,0.044352,0.05472,0.022816,0.194202,5.64486,4096,4096
CuFFT,Inplace,Real,float,1,1,1024,0,0,2,2.69648,0.219644,2.50178,0.015552,0.044576,0.046208,0.023168,0.192396,5.62924,4096,4096
CuFFT,Inplace,Real,float,1,1,1024,0,0,3,2.74592,0.221443,2.50459,0.016032,0.07728,0.0448,0.029024,0.194292,5.68528,4096,4096
CuFFT,Inplace,Real,float,1,1,1024,0,0,4,2.70208,0.220046,2.54469,0.015872,0.04416,0.044992,0.02272,0.193888,5.6795,4096,4096
