; "Tesla P100-PCIE-16GB", "CC", 6.0, "Multiprocessors", 56, "Memory [MiB]", 16276, "MemoryFree [MiB]", 15989, "MemClock [MHz]", 715, "GPUClock [MHz]", 405, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 38.7456
; "Time_ContextDestroy [ms]", 191.475
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0,0.367426,0.735737,7.5e-05,0.016512,0.020576,0.011552,0.022336,0.153758,1.40745,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0,0.364128,0.725919,9.7e-05,0.01664,0.02064,0.011904,0.022112,0.161008,1.40204,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0,0.363913,0.726716,8.5e-05,0.016032,0.021152,0.011712,0.021952,0.15076,1.3938,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0,0.366601,0.726487,5.7e-05,0.017408,0.020448,0.01152,0.022304,0.151775,1.39756,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0,0.364748,0.776467,0.000105,0.016416,0.02016,0.011968,0.021856,0.154355,1.45246,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0,0.371533,0.737507,8.3e-05,0.017632,0.047936,0.03904,0.024064,0.153252,1.47122,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0,0.369559,0.737624,8.7e-05,0.016736,0.047936,0.038112,0.024032,0.151825,1.46986,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0,0.365246,0.73676,9.7e-05,0.016992,0.04784,0.039136,0.023648,0.151136,1.46093,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0,0.364196,0.735955,8.7e-05,0.016288,0.048064,0.037728,0.023744,0.153063,1.45963,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0,0.363408,0.79712,8.5e-05,0.017536,0.047488,0.038848,0.023424,0.153751,1.5249,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0,0.371563,0.738157,7.2e-05,0.045568,0.064544,0.052576,0.054496,0.153958,1.56243,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0,0.379801,0.798982,0.000108,0.046336,0.06384,0.052832,0.051296,0.156865,1.6316,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0,0.36577,0.737835,7.7e-05,0.04704,0.063424,0.053664,0.050656,0.151902,1.55194,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0,0.363481,0.736481,8.5e-05,0.045504,0.063744,0.052864,0.050752,0.151831,1.54658,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0,0.362896,0.737692,5.2e-05,0.04592,0.064672,0.052736,0.05072,0.151447,1.54693,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"Success",0,0.397351,0.745105,0.000115,0.646272,0.0864,0.075296,0.341664,0.162837,2.53661,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Success",0,0.372738,0.738967,7.5e-05,0.640704,0.084928,0.074752,0.341536,0.161683,2.49675,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Success",0,0.371339,0.73957,9.7e-05,0.644416,0.094176,0.076,0.341248,0.161438,2.50989,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Success",0,0.368584,0.757554,7.5e-05,0.644576,0.084864,0.074528,0.341536,0.160056,2.51368,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,"Success",0,0.367166,0.737302,9.2e-05,0.642752,0.085024,0.076,0.340448,0.159006,2.49014,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,"Success",0,0.577117,1.10066,6e-05,12.0783,0.732416,0.694752,3.81619,0.385921,19.5082,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,"Success",0,0.598144,1.09912,3.5e-05,12.0406,0.735776,0.696,3.81382,0.380111,19.4942,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,"Success",0,0.602081,1.1199,6e-05,12.0178,0.738048,0.6952,3.81466,0.387954,19.5046,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,"Success",0,0.583791,1.09927,7.8e-05,12.0357,0.735712,0.69488,3.81162,0.376164,19.4635,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,"Success",0,0.595361,1.10211,6.2e-05,12.0479,0.732256,0.695968,3.82486,0.378813,19.5041,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,"Success",0,0.895097,1.3979,0.000485,228.098,14.8343,14.7789,52.6898,0.718512,313.555,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,"Success",0,0.897372,1.41166,0.00115,228.102,14.8384,14.7797,52.7283,0.710612,313.616,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,"Success",0,0.926302,1.39856,0.00014,228.084,14.8358,14.7731,52.7169,0.708165,313.582,3.76367e+08,3.76367e+08,3.76367e+08,73
