; "Tesla P100-PCIE-16GB", "CC", 6.0, "Multiprocessors", 56, "Memory [MiB]", 16276, "MemoryFree [MiB]", 15989, "MemClock [MHz]", 715, "GPUClock [MHz]", 405, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 38.8051
; "Time_ContextDestroy [ms]", 196.165
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0,0.374239,0.727569,6.7e-05,0.016256,0.020096,0.012512,0.022688,0.15353,1.40631,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0,0.375901,0.72758,6.7e-05,0.017024,0.019936,0.012096,0.022464,0.152368,1.40695,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0,0.370639,0.726885,6.8e-05,0.01648,0.020608,0.011616,0.022688,0.15181,1.40215,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0,0.380714,0.79269,6.8e-05,0.017024,0.02,0.011744,0.022592,0.150983,1.47683,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0,0.370498,0.726337,6.8e-05,0.01616,0.019648,0.011392,0.022464,0.152448,1.39953,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0,0.372411,0.729544,3.5e-05,0.018112,0.048032,0.038784,0.02464,0.152451,1.46423,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0,0.378039,0.731055,8.2e-05,0.018528,0.0472,0.038016,0.023872,0.153438,1.47125,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0,0.383111,0.795015,7.5e-05,0.01808,0.047616,0.038976,0.023968,0.152423,1.54389,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0,0.369163,0.72834,6.7e-05,0.017728,0.047392,0.03808,0.024064,0.153681,1.45912,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0,0.375716,0.728065,7.7e-05,0.018272,0.046656,0.038496,0.023904,0.152091,1.46446,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0,0.371458,0.733084,7.5e-05,0.046624,0.06416,0.052352,0.050752,0.153415,1.55156,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0,0.371611,0.729502,4.8e-05,0.045984,0.063584,0.052928,0.049984,0.152263,1.54773,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0,0.368009,0.729457,5.8e-05,0.046528,0.062688,0.0536,0.049376,0.150946,1.54357,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0,0.373866,0.729332,6.2e-05,0.04752,0.062752,0.052896,0.050784,0.153336,1.55284,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0,0.368233,0.72845,4.5e-05,0.045792,0.063616,0.052576,0.049792,0.151798,1.54248,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"Success",0,0.389929,0.817975,4.8e-05,0.233888,0.08656,0.074208,0.323744,0.163303,2.1776,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Success",0,0.388739,0.731399,9.5e-05,0.2344,0.084768,0.074144,0.324096,0.160291,2.0801,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Success",0,0.372506,0.729725,7.3e-05,0.232832,0.084288,0.074432,0.323232,0.15984,2.06023,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Success",0,0.372109,0.729967,7.2e-05,0.23408,0.0848,0.074336,0.3232,0.158463,2.05872,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,"Success",0,0.371468,0.791118,5.5e-05,0.235584,0.086784,0.075712,0.323712,0.164568,2.14294,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,"Success",0,0.594857,1.11328,6.5e-05,3.60096,0.806048,0.765472,3.33222,0.392503,10.7279,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,"Success",0,0.597275,1.1078,7.7e-05,3.60746,0.798144,0.758432,3.32336,0.392286,10.7103,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,"Success",0,0.599099,1.19499,7.3e-05,3.6032,0.800704,0.757888,3.32595,0.392439,10.7985,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,"Success",0,0.58954,1.1272,6.3e-05,3.59888,0.797408,0.758944,3.32643,0.390574,10.7144,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,"Success",0,0.593789,1.12368,7.5e-05,3.57853,0.796256,0.759072,3.32371,0.392906,10.6954,1.98088e+07,1.98088e+07,1.98088e+07,72
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,"Success",0,0.912547,1.40595,6.3e-05,68.1261,15.5176,15.4693,52.1553,0.676409,154.399,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,"Success",0,0.878977,1.40322,6.5e-05,68.1677,14.8222,14.7795,52.2202,0.703799,153.111,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,"Success",0,0.902775,1.56509,7.3e-05,68.1797,14.824,14.775,52.2185,0.713124,153.315,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,"Success",0,0.882373,1.43618,7.5e-05,68.1679,14.8227,14.7754,52.2104,0.709274,153.147,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,"Success",0,0.880315,1.4019,6.8e-05,68.2383,14.8251,14.7751,52.2201,0.683912,153.175,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,0,"Success",0,0.370771,0.7358,7.5e-05,0.01744,0.028608,0.019104,0.023744,0.161426,1.43846,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,1,"Success",0,0.369474,0.73527,5e-05,0.017344,0.027648,0.018304,0.023776,0.15337,1.42637,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,2,"Success",0,0.371556,0.734127,5e-05,0.01728,0.028704,0.01904,0.023072,0.152386,1.42775,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,3,"Success",0,0.378971,0.801198,5e-05,0.017408,0.02832,0.01808,0.024992,0.156783,1.51121,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,4,"Success",0,0.368026,0.733747,5e-05,0.017504,0.028576,0.0192,0.023744,0.152385,1.42418,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,0,"Success",0,0.372229,0.743995,7.5e-05,0.04752,0.056768,0.046368,0.051488,0.157078,1.55889,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,1,"Success",0,0.383863,0.806487,6.8e-05,0.047392,0.056544,0.045152,0.051008,0.160406,1.63794,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,2,"Success",0,0.371233,0.743017,6.8e-05,0.045984,0.054368,0.04656,0.0512,0.153443,1.54785,54872,54872,54872,69
