; "Tesla P100-PCIE-16GB", "CC", 6.0, "Multiprocessors", 56, "Memory [MiB]", 16276, "MemoryFree [MiB]", 15989, "MemClock [MHz]", 715, "GPUClock [MHz]", 405, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1490623484,"CurrentTimeLocal","Mon Mar 27 16:04:44 2017"
; "Time_ContextCreate [ms]", 37.155617
; "Time_ContextDestroy [ms]", 174.116113
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Success",0.361106,0.728517,8e-05,0.017055999488,0.019200000912,0.010784000158,0.018624000251,0.151068,1.346906,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Success",0.358446,0.725842,8.5e-05,0.015519999899,0.020416000858,0.010847999714,0.01852799952,0.15083,1.341916,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.371539,0.726562,5e-05,0.015391999856,0.019392000511,0.010528000072,0.018271999434,0.15054,1.354697,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.356888,0.738017,9.3e-05,0.016416000202,0.018944000825,0.010751999915,0.018559999764,0.149155,1.349574,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.364453,0.797195,7.2e-05,0.016543999314,0.019424000755,0.010719999671,0.018303999677,0.153821,1.421564,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.358846,0.725867,0.0001,0.016095999628,0.019872000441,0.011040000245,0.018688000739,0.163993,1.355819,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.357116,0.724914,0.00011,0.016224000603,0.019168000668,0.010912000202,0.018783999607,0.149081,1.338619,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.355896,0.724699,8.7e-05,0.015519999899,0.019551999867,0.010656000115,0.018112000078,0.150541,1.336714,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.358678,0.726159,7.5e-05,0.015647999942,0.019168000668,0.010879999958,0.018144000322,0.14991,1.341139,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.357761,0.723619,7.8e-05,0.015168000013,0.020640000701,0.010816000402,0.018464000896,0.14931,1.337404,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Success",0.362571,0.736699,0.000112,0.01571200043,0.048000000417,0.036736000329,0.01929599978,0.1554,1.416804,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Success",0.360075,0.737289,9e-05,0.015807999298,0.046080000699,0.036384001374,0.019200000912,0.153263,1.410926,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.361471,0.735878,9.3e-05,0.015871999785,0.047168001533,0.03695999831,0.019200000912,0.151821,1.410219,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.356786,0.735519,6.7e-05,0.015776000917,0.046656001359,0.036736000329,0.019071999937,0.151136,1.403424,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,69,"Success",0.357198,0.736662,0.00012,0.015487999655,0.047072000802,0.036736000329,0.01900799945,0.151535,1.405587,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,69,"Success",0.356116,0.748192,8.7e-05,0.015776000917,0.045983999968,0.036575999111,0.019263999537,0.152155,1.415812,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,69,"Success",0.366518,0.77521,6.2e-05,0.016831999645,0.047295998782,0.036448001862,0.018912000582,0.151861,1.455004,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,69,"Success",0.370989,0.736197,7.5e-05,0.01600000076,0.045823998749,0.036768000573,0.019519999623,0.150605,1.419384,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,69,"Success",0.357388,0.74627,6.8e-05,0.016448000446,0.046751998365,0.03683200106,0.018848000094,0.150755,1.415246,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,69,"Success",0.357099,0.744942,6.2e-05,0.016607999802,0.045759998262,0.03647999838,0.019168000668,0.150725,1.411472,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,70,"Success",0.364189,0.738162,8.5e-05,0.026111999527,0.063263997436,0.051839999855,0.035647999495,0.151892,1.473761,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,70,"Success",0.365581,0.737002,9.3e-05,0.025663999841,0.062431998551,0.053151998669,0.035103999078,0.152128,1.473104,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,70,"Success",0.366176,0.737392,8.3e-05,0.025631999597,0.061824001372,0.05171199888,0.033824000508,0.152018,1.470882,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,70,"Success",0.362088,0.736737,8.7e-05,0.025631999597,0.062912002206,0.051936000586,0.033856000751,0.154198,1.471701,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,70,"Success",0.357951,0.73753,7.8e-05,0.02508799918,0.062976002693,0.051936000586,0.033727999777,0.151523,1.463794,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,5,70,"Success",0.357664,0.736204,9.8e-05,0.02537599951,0.061983998865,0.052735999227,0.03376000002,0.152412,1.462763,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,6,70,"Success",0.359438,0.737615,8.5e-05,0.024703999981,0.061951998621,0.051904000342,0.033920001239,0.150091,1.462784,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,7,70,"Success",0.358028,0.736474,9e-05,0.02556799911,0.062816001475,0.052096001804,0.033888000995,0.151075,1.463669,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,8,70,"Success",0.357451,0.738302,9.5e-05,0.0266239997,0.062559999526,0.051904000342,0.03423999995,0.150141,1.462559,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,9,70,"Success",0.378299,0.748827,0.000102,0.02556799911,0.06163199991,0.052864000201,0.034591998905,0.150175,1.494551,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,71,"Success",0.381609,0.729299,8.8e-05,0.23276799917,0.087424002588,0.073696002364,0.30774399638,0.161015,2.017063,1042568,1042568,1042568
