; "Tesla P100-PCIE-16GB", "CC", 6.0, "PCI Bus ID", 131, "PCI Device ID", 0, "Multiprocessors", 56, "Memory [MiB]", 16276, "MemoryFree [MiB]", 15976, "ECC enabled", 1, "MemClock [MHz]", 715, "GPUClock [MHz]", 1189, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1499193469,"CurrentTimeLocal","Tue Jul  4 20:37:49 2017","Hostname","taurust1"
; "Time_ContextCreate [ms]", 92.948198
; "Time_ContextDestroy [ms]", 362.340611
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",1.551713,0.597665,0.000367,0.025280000642,0.034495998174,0.015584000386,0.023552000523,0.24759,2.558485,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",1.550306,0.595698,0.000336,0.02460799925,0.027200000361,0.013728000224,0.022752000019,0.231441,2.528891,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",1.550903,0.585185,0.00033,0.024064000696,0.025760000572,0.032287999988,0.024000000209,0.227208,2.533359,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",1.550473,0.585681,0.000333,0.023744000122,0.025151999667,0.013344000094,0.022399999201,0.233634,2.516698,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",1.544816,0.594905,0.000336,0.023008000106,0.025183999911,0.013856000267,0.022816000506,0.223614,2.510078,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",1.544436,0.593721,0.000326,0.023776000366,0.02537599951,0.013535999693,0.022399999201,0.228135,2.514388,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",1.54741,0.585505,0.000346,0.023679999635,0.040575999767,0.015007999726,0.024320000783,0.229273,2.529065,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",1.548617,0.585511,0.000327,0.023647999391,0.025472000241,0.013632000424,0.022143999115,0.23395,2.517231,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",1.549113,0.605011,0.000333,0.023903999478,0.025343999267,0.013504000381,0.023744000122,0.229101,2.532061,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",1.544767,0.594014,0.000337,0.023199999705,0.025504000485,0.013856000267,0.022048000246,0.225874,2.512535,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",1.547017,0.586145,0.000323,0.022943999618,0.040575999767,0.016287999228,0.023711999878,0.228457,2.528891,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",1.55695,0.585668,0.00034,0.023264000192,0.025183999911,0.01408000011,0.022112000734,0.236331,2.527258,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",1.562613,0.620431,0.000377,0.02585599944,0.072832003236,0.047552000731,0.025887999684,0.2387,2.657342,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",1.56115,0.602331,0.000336,0.024544000626,0.07462400198,0.047488000244,0.025663999841,0.235041,2.635052,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",1.548957,0.602591,0.000333,0.024383999407,0.060543999076,0.046751998365,0.040095999837,0.22961,2.614705,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",1.548763,0.600835,0.000366,0.024703999981,0.060511998832,0.046431999654,0.024736000225,0.236007,2.605302,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",1.54203,0.607821,0.00032,0.024383999407,0.059583999217,0.048096001148,0.025536000729,0.237033,2.608672,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,68,"Success",1.54905,0.609124,0.00036,0.024863999337,0.059840001166,0.046976000071,0.024927999824,0.228747,2.605782,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,68,"Success",1.544207,0.609195,0.00034,0.024224000052,0.059103999287,0.046335998923,0.024288000539,0.228226,2.598841,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,68,"Success",1.542393,0.607947,0.000383,0.024544000626,0.060704000294,0.046367999166,0.024992000312,0.227864,2.598288,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,68,"Success",1.565856,0.608304,0.00033,0.024191999808,0.060832001269,0.046208001673,0.024447999895,0.230574,2.622232,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,68,"Success",1.549046,0.600218,0.000323,0.023744000122,0.075712002814,0.046688001603,0.025696000084,0.228568,2.611695,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,10,68,"Success",1.544043,0.600608,0.000327,0.024064000696,0.059999998659,0.046976000071,0.039840001613,0.22379,2.603646,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,11,68,"Success",1.548467,0.600998,0.000346,0.025536000729,0.058880001307,0.047839999199,0.02460799925,0.236887,2.607152,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,69,"Warmup",1.560073,0.606674,0.000363,0.036768000573,0.085440002382,0.066624000669,0.050879999995,0.255361,2.725072,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,69,"Warmup",1.556693,0.604091,0.000343,0.036575999111,0.082272000611,0.066079996526,0.050976000726,0.249824,2.709275,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,69,"Success",1.549479,0.603528,0.00034,0.036384001374,0.082143999636,0.066335998476,0.050303999335,0.246437,2.698238,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,69,"Success",1.554606,0.642844,0.000356,0.036991998553,0.080735996366,0.067199997604,0.064864002168,0.23441,2.747395,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,69,"Success",1.548706,0.602454,0.00036,0.036031998694,0.080959998071,0.080927997828,0.050560001284,0.228346,2.689719,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,5,69,"Success",1.552076,0.603801,0.00036,0.036511998624,0.081055998802,0.077568002045,0.050016000867,0.23074,2.695739,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,6,69,"Success",1.54989,0.603311,0.000336,0.035519998521,0.079935997725,0.08147200197,0.050335999578,0.234665,2.698969,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,7,69,"Success",1.553163,0.637725,0.000367,0.036448001862,0.082143999636,0.082656003535,0.050496000797,0.235284,2.741772,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,8,69,"Success",1.546093,0.602874,0.00035,0.035551998764,0.093599997461,0.068191997707,0.050144001842,0.232951,2.691458,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,9,69,"Success",1.543939,0.604361,0.000454,0.035551998764,0.080256000161,0.068223997951,0.05123199895,0.22973,2.687205,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,10,69,"Success",1.550253,0.602831,0.000334,0.036063998938,0.080927997828,0.068223997951,0.050464000553,0.230223,2.695088,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,11,69,"Success",1.550933,0.643465,0.000327,0.03599999845,0.096511997283,0.066752001643,0.050303999335,0.235357,2.742389,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,70,"Warmup",1.55969,0.607878,0.000367,0.31331199408,0.11084800214,0.093759998679,0.46588799357,0.26108,3.479117,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,70,"Warmup",1.554543,0.614955,0.000357,0.29500800371,0.10883200169,0.091871999204,0.46521601081,0.24506,3.45792,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,70,"Success",1.56479,0.604692,0.00036,0.30771198869,0.10857599974,0.093184001744,0.46377599239,0.248814,3.45884,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,70,"Success",1.550063,0.611121,0.00034,0.29753598571,0.10896000266,0.092671997845,0.46534401178,0.234957,3.427083,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,70,"Success",1.561573,0.601905,0.000507,0.30630400777,0.11065600067,0.093280002475,0.46403199434,0.246577,3.451253,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,5,70,"Success",1.556273,0.612775,0.000397,0.29670399427,0.10796800256,0.092192001641,0.46556800604,0.237507,3.435784,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,6,70,"Success",1.55688,0.604051,0.00036,0.30790400505,0.10857599974,0.092128001153,0.4642559886,0.24811,3.44945,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,7,70,"Success",1.55535,0.611565,0.00036,0.29731199145,0.10828799754,0.093535996974,0.46908798814,0.233783,3.433883,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,8,70,"Success",1.553073,0.603775,0.000343,0.31084799767,0.10908800364,0.092352002859,0.46265599132,0.249541,3.448954,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,9,70,"Success",1.549833,0.610261,0.00036,0.29577600956,0.10847999901,0.092479996383,0.48607999086,0.239434,3.448407,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,10,70,"Success",1.555983,0.602827,0.00033,0.2955519855,0.10809600353,0.092224001884,0.46099200845,0.245717,3.430609,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,11,70,"Success",1.547206,0.612265,0.00036,0.2965759933,0.10950399935,0.09279999882,0.48636800051,0.23488,3.443687,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,71,"Warmup",1.739397,2.179598,0.000343,3.6326398849,0.79619199038,0.76531201601,6.1311359406,1.128868,16.447198,19808792,19808792,19808792
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,71,"Warmup",1.668063,2.113708,0.000346,3.5635199547,0.79046398401,0.76563197374,6.2295680046,1.117036,16.320448,19808792,19808792,19808792
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,71,"Success",1.667873,2.099221,0.00034,3.5022079945,0.78905600309,0.76396799088,5.9809279442,1.14265,16.012032,19808792,19808792,19808792
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,71,"Success",1.66142,2.162681,0.000336,3.5718400478,0.79273599386,0.76483201981,5.9528641701,1.116458,16.094178,19808792,19808792,19808792
