; "Tesla P100-PCIE-16GB", "CC", 6.0, "PCI Bus ID", 131, "PCI Device ID", 0, "Multiprocessors", 56, "Memory [MiB]", 16276, "MemoryFree [MiB]", 15976, "ECC enabled", 1, "MemClock [MHz]", 715, "GPUClock [MHz]", 1189, "CUDA Runtime", 9000, "cufft", 9000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1499177625,"CurrentTimeLocal","Tue Jul  4 16:13:45 2017","Hostname","taurust1"
; "Time_ContextCreate [ms]", 93.076332
; "Time_ContextDestroy [ms]", 359.206328
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",1.550213,0.596231,0.000327,0.025248000398,0.030719999224,0.016063999385,0.023455999792,0.233984,2.541355,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",1.55569,0.593308,0.00033,0.024512000382,0.027519999072,0.013472000137,0.023871999234,0.22523,2.526008,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",1.547763,0.584184,0.000346,0.023584000766,0.026367999613,0.013567999937,0.039360001683,0.226807,2.524808,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",1.550867,0.584971,0.000344,0.023744000122,0.026432000101,0.013535999693,0.023520000279,0.239637,2.525125,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",1.541007,0.594041,0.000373,0.024032000452,0.026048000902,0.014623999596,0.022943999618,0.225477,2.511988,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",1.550457,0.596058,0.000357,0.023296000436,0.025984000415,0.013055999763,0.022592000663,0.22322,2.518315,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",1.546736,0.585268,0.000354,0.024288000539,0.026208000258,0.013151999563,0.03599999845,0.224513,2.519165,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",1.552326,0.586551,0.000333,0.024159999564,0.026079999283,0.013120000251,0.022879999131,0.226114,2.513742,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",1.543383,0.591951,0.000327,0.024863999337,0.025504000485,0.014688000083,0.022495999932,0.227758,2.514635,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",1.557016,0.603785,0.000323,0.023776000366,0.026720000431,0.013759999536,0.022463999689,0.225477,2.535302,152,152,152
