; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496243246,"CurrentTimeLocal","Wed May 31 17:07:26 2017","Hostname","r02n10"
; "Time_ContextCreate [ms]", 0.000364
; "Time_ContextDestroy [ms]", 0.000227
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000672,7.4975,6.889207,0.011513,0.18504,0.079184,0.014119,0.099812,14.77792,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000364,7.520537,6.852641,0.011976,0.175669,0.084483,0.01489,0.114461,14.775938,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000422,7.509717,6.827131,0.0123,0.183386,0.097264,0.014647,0.118133,14.763803,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000347,7.526086,6.843817,0.012148,0.211068,0.081808,0.013872,0.102243,14.792224,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000406,7.551903,6.832203,0.011263,0.188052,0.077918,0.014406,0.098626,14.775732,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000368,7.56494,6.848627,0.013309,0.175637,0.082541,0.014788,0.107189,14.808232,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000412,7.585061,6.889002,0.011919,0.179735,0.085679,0.014502,0.107991,14.875321,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000342,7.647843,6.843139,0.012976,0.209689,0.088797,0.016524,0.109836,14.930164,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.00036,7.60244,6.841163,0.011477,0.17845,0.09509,0.014557,0.101674,14.846037,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000348,7.654026,6.845274,0.011707,0.220016,0.080129,0.015037,0.101349,14.928724,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000401,7.620709,6.842565,0.013177,0.198868,0.088053,0.014656,0.110599,14.889987,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000376,7.618379,6.844657,0.012685,0.172346,0.083801,0.024792,0.105047,14.863067,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.002584,17.57894,16.842264,0.269881,0.85683,0.65649,0.224435,0.156994,36.589143,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000389,17.518459,16.812936,0.141509,0.786149,0.672562,0.217694,0.160162,36.31071,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000386,17.571013,16.817372,0.145815,0.804568,0.659327,0.225341,0.154765,36.379494,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000376,17.612426,16.840468,0.142417,0.83957,0.663824,0.215331,0.15782,36.473083,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000405,17.590595,16.814501,0.140984,0.85214,0.663261,0.222487,0.160925,36.446136,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000384,17.529908,16.805525,0.145065,0.815207,0.664053,0.221867,0.160922,36.343778,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000375,17.562427,16.799924,0.143873,0.802404,0.65939,0.215553,0.155895,36.340586,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000389,17.555285,16.824403,0.145036,0.826637,0.658164,0.220327,0.1583,36.389334,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.000372,17.541878,16.821536,0.144205,0.77904,0.668521,0.213265,0.169434,36.339124,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000366,17.660677,16.889091,0.143535,0.818779,0.661465,0.216269,0.159515,36.550568,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.00039,17.575636,16.807262,0.144422,0.842595,0.663802,0.21558,0.160647,36.411078,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000356,17.520935,16.769737,0.142029,0.813641,0.661806,0.217768,0.162306,36.289428,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.006015,35.071968,34.962328,6.988026,15.326268,14.572163,3.684548,0.178636,110.804499,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.000326,35.082406,35.088104,2.18956,15.055533,14.15938,3.626531,0.171558,105.374305,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.000339,34.925094,35.024924,2.209678,13.570762,13.303907,3.613897,0.172376,102.821728,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.000323,35.005818,35.064579,2.207765,13.589263,13.272644,3.587123,0.169411,102.89768,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.000316,34.974202,35.039477,2.215126,12.781373,12.574787,3.62279,0.169235,101.378072,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.000347,35.030726,35.137878,2.216425,13.578626,13.220208,3.629149,0.175912,102.99007,19808792,0,19808792
