; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496259892,"CurrentTimeLocal","Wed May 31 21:44:52 2017","Hostname","r02n13"
; "Time_ContextCreate [ms]", 0.00035
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000133,1.277783,1.116546,9.3e-05,0.00028,0.00024,9.5e-05,0.000593,2.396258,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000172,1.138848,1.134575,0.000116,0.000287,0.00024,8.7e-05,0.000607,2.275366,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000162,1.153245,1.128762,8.7e-05,0.000275,0.00023,6.7e-05,0.001014,2.284316,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000138,1.135687,1.170071,0.00011,0.000251,0.000246,6e-05,0.000502,2.30749,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000179,1.120542,1.139303,0.000106,0.000265,0.000233,5.3e-05,0.0007,2.261877,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000148,1.121818,1.121847,9.9e-05,0.000266,0.000235,8.5e-05,0.000546,2.245514,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000149,1.146268,1.112271,8e-05,0.000281,0.000232,4.4e-05,0.000648,2.260406,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000179,1.129127,1.120875,0.000102,0.000284,0.000213,9.5e-05,0.000527,2.251821,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000166,1.164978,1.120702,9.2e-05,0.000276,0.00023,5.9e-05,0.000671,2.287563,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000186,1.227992,1.119254,0.000101,0.000262,0.000228,9.2e-05,0.000682,2.349182,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000168,1.135855,1.127563,8.6e-05,0.000261,0.000227,5.8e-05,0.000519,2.26516,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000147,1.121808,1.13364,8.4e-05,0.000268,0.000224,6.7e-05,0.000813,2.257461,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000313,18.140902,17.470289,0.000546,0.042698,0.041064,0.000242,0.022461,35.719279,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.00032,17.932082,17.372073,0.000527,0.043725,0.039248,0.00045,0.022983,35.412189,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000256,18.342922,17.508828,0.000515,0.047034,0.041145,0.000187,0.023628,35.965272,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000309,17.929134,17.336187,0.000573,0.049592,0.044926,0.000292,0.021862,35.383619,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.000266,17.91467,17.288683,0.000542,0.044011,0.042138,0.000317,0.022209,35.313547,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.00028,17.94985,17.423014,0.000621,0.040648,0.041346,0.000235,0.022361,35.479151,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.00022,17.82129,17.361511,0.000501,0.041568,0.042154,0.000215,0.020985,35.289133,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000285,17.828429,17.338329,0.000636,0.045632,0.041833,0.000186,0.024524,35.280652,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000327,17.97418,17.321352,0.000509,0.041541,0.04218,0.000225,0.02227,35.403385,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000312,17.969673,17.565854,0.000479,0.043004,0.041353,0.000226,0.020464,35.642121,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.0003,17.867714,17.380767,0.000481,0.042971,0.042007,0.000239,0.021983,35.357147,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000318,17.858862,17.496806,0.000459,0.038879,0.042774,0.000235,0.019251,35.458319,2888,0,2888
