; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496370112,"CurrentTimeLocal","Fri Jun  2 04:21:52 2017","Hostname","r02n12"
; "Time_ContextCreate [ms]", 0.000317
; "Time_ContextDestroy [ms]", 0.000142
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000398,100.062375,102.097338,0.010688,0.080386,0.06438,0.008292,0.083371,202.408143,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.00036,99.632109,106.288698,0.011718,0.072138,0.065082,0.007931,0.088143,206.167071,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000343,100.06353,108.325897,0.011417,0.075051,0.066026,0.00795,0.085138,208.636217,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000486,99.471717,102.037567,0.01072,0.077844,0.064142,0.008287,0.086695,201.758302,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000354,100.063371,101.766762,0.011478,0.069024,0.063916,0.007544,0.088052,202.071319,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000476,100.139707,102.120286,0.011057,0.075278,0.063003,0.007545,0.087856,202.506069,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000376,99.591731,110.767211,0.01052,0.077455,0.070131,0.00761,0.087078,210.613312,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.00031,99.686275,102.234374,0.011953,0.07417,0.065646,0.007738,0.085954,202.167675,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000321,99.327443,102.202576,0.011153,0.073034,0.065409,0.008455,0.078085,201.767529,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000611,104.352231,102.793064,0.011139,0.074307,0.063425,0.007699,0.083487,207.386807,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000467,99.900527,106.931484,0.01057,0.077231,0.067871,0.00863,0.084118,207.08184,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000351,100.020736,112.474635,0.011367,0.074942,0.067888,0.007972,0.087678,212.746619,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.000505,487.318887,487.914703,0.200937,0.346792,0.301231,0.165026,0.144257,976.393205,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000505,500.512372,470.275402,0.214318,0.337483,0.289192,0.165996,0.14901,971.945135,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000483,481.741558,493.140491,0.201089,0.369214,0.295611,0.165482,0.139647,976.054558,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000452,493.731084,482.27433,0.200205,0.344237,0.300211,0.167659,0.141286,977.160634,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000476,485.018091,488.302696,0.201683,0.341986,0.296787,0.163059,0.144763,974.47037,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000459,481.540625,484.168506,0.202465,0.349503,0.295069,0.175027,0.143298,966.876118,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000446,506.956504,488.689215,0.199234,0.347998,0.300837,0.164593,0.14198,996.80152,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000479,503.294684,487.33912,0.205119,0.349408,0.291886,0.164335,0.153432,991.79922,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.00048,497.819563,494.670518,0.202377,0.339747,0.290008,0.174802,0.145272,993.643597,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000453,495.571733,490.665049,0.199948,0.346672,0.287767,0.178747,0.142565,987.393672,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.00046,504.990595,495.615333,0.213751,0.369341,0.290375,0.166581,0.145507,1001.792966,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000469,500.88457,491.475454,0.198671,0.63378,0.291343,0.167617,0.148621,993.801375,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.006065,6096.37927,6152.126849,3.112465,6.711892,6.227199,2.617126,0.236279,12267.417851,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.000682,5978.101283,6183.312243,2.942213,6.549835,6.226377,2.654425,0.246197,12180.033996,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.000284,6180.439977,6225.203279,2.795886,6.628369,6.195802,2.721553,0.244662,12424.230748,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.000329,6271.738137,6416.513787,3.003449,6.688831,6.27983,2.779348,0.296314,12707.300987,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.000279,6232.130698,6260.36598,3.017836,6.52295,6.339512,2.720335,0.282515,12511.380851,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.000399,6305.497063,6237.397881,2.839815,6.921127,6.360213,2.716172,0.395002,12562.128761,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.000364,6457.86796,6363.505607,3.016404,6.548959,6.347125,2.702255,0.364144,12840.353771,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.000444,6231.59834,6240.472099,2.972546,6.83288,6.59221,2.766782,0.298234,12491.534335,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.000601,6246.830699,6372.121667,3.124694,6.661263,6.202514,2.703026,0.260032,12637.905446,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.000591,6262.915272,6405.51031,2.785161,6.593786,6.237012,2.836715,0.27841,12687.157865,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.000431,6459.542057,6010.352171,3.167609,6.69564,6.399766,2.841625,0.296518,12489.296711,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.000336,6214.860851,6024.23374,2.299406,6.696892,6.233668,2.991993,0.267454,12257.585586,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.007666,33083.738663,34894.983682,43.983806,86.40317,96.673985,50.223047,19.468434,68275.485129,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.008978,33912.297607,33495.68852,44.187331,90.850989,90.797415,50.185983,19.566619,67703.585688,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.008985,33883.314537,33027.993387,44.291484,101.581398,88.541003,50.203682,19.539849,67215.47732,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.0088,33528.565706,33837.367999,44.965841,96.701252,92.50727,50.925947,19.544111,67670.588934,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.009171,34900.112509,33933.019567,45.348221,91.038866,90.844166,51.402457,19.8433,69131.621029,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.016261,34295.700525,33436.251123,45.390918,91.083624,85.454214,51.328034,19.888493,68025.115776,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.008734,34452.270823,36426.228994,43.808903,99.573663,89.99657,49.882363,19.65684,71181.429933,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.009146,34067.859791,34126.65291,45.732796,89.586822,87.147649,51.8641,19.954573,68488.810268,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.0093,34164.167589,34058.328323,62.582764,107.020724,107.129761,61.735516,21.944513,68582.920771,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.01003,33725.960171,33943.611869,62.215988,97.151067,88.275859,52.808053,23.611195,67993.646672,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.010387,34755.69026,33801.521135,60.641844,91.22095,88.023089,53.048849,23.673138,68873.832725,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.009698,34097.442947,34355.832563,62.367867,98.310071,86.129074,52.96215,23.667407,68776.72446,376367048,0,376367048
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000241,17.366875,16.764734,0.000118,0.016978,0.014201,0.000174,0.009135,34.173118,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000173,17.536564,16.786917,0.000139,0.018516,0.013921,0.000106,0.007797,34.364595,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000111,17.293299,16.718703,0.00015,0.015586,0.014122,0.000103,0.008073,34.050717,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000171,17.487758,17.06959,0.00017,0.015649,0.012064,0.000103,0.008371,34.594437,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.00013,17.375251,17.181181,0.000148,0.012744,0.013958,0.000163,0.007609,34.591754,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000131,17.225816,17.021295,0.000143,0.0143,0.014355,0.0001,0.010369,34.287086,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000145,17.513604,16.959317,0.000145,0.014252,0.014112,0.00017,0.009259,34.511585,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000164,17.663371,17.043357,0.000139,0.015476,0.011897,0.000178,0.00708,34.742207,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.00016,17.401862,16.941655,0.000177,0.012218,0.012754,9.8e-05,0.006387,34.375914,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.00016,17.509615,16.89916,0.000131,0.013427,0.013018,0.000232,0.005946,34.442273,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000136,17.254898,17.060891,0.000128,0.016615,0.013101,0.000182,0.00839,34.35491,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000164,17.540064,16.807199,0.000138,0.016866,0.013362,0.000237,0.005752,34.384437,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000187,15.932527,15.673767,0.0002,0.016217,0.013975,0.000199,0.011875,31.649572,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000176,15.564316,15.4827,0.000201,0.012989,0.014835,0.000442,0.015871,31.092046,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000181,15.918489,15.426506,0.000155,0.012411,0.01307,0.000532,0.01302,31.384911,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000169,15.616451,15.537416,0.000151,0.013908,0.014258,0.000336,0.012393,31.195615,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000182,15.813754,15.566206,0.000127,0.016884,0.013169,0.000252,0.016725,31.427834,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000187,15.66581,15.483303,0.000122,0.014688,0.011567,0.000145,0.012963,31.189286,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000171,16.01038,15.49056,0.000173,0.013692,0.013703,0.000145,0.012325,31.541614,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.00014,15.498711,15.466383,0.000144,0.012896,0.013129,0.000267,0.011088,31.00325,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000185,15.91426,15.436359,0.000154,0.013189,0.012583,0.000411,0.017451,31.395226,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000163,15.595017,16.077843,0.000137,0.015901,0.013758,0.000225,0.019067,31.722584,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000182,15.892497,15.702696,0.000224,0.017124,0.013522,0.000124,0.010704,31.637693,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000157,15.651452,15.462531,0.00012,0.014985,0.013848,0.00029,0.015328,31.159222,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000182,19.048035,18.982522,0.000102,0.029111,0.025252,0.000257,0.01731,38.103581,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000294,19.50272,19.263057,0.000109,0.02887,0.024411,0.000269,0.024484,38.845123,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000179,19.185889,18.756676,0.000102,0.029122,0.025905,0.000255,0.018546,38.017411,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000292,19.289861,19.021531,9.9e-05,0.026873,0.024583,0.000423,0.017405,38.381774,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000203,19.184994,18.744717,0.000104,0.028307,0.025918,0.000345,0.017751,38.003014,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000302,19.203598,18.990217,0.000108,0.028086,0.024693,0.000191,0.01737,38.265309,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.00018,19.184657,18.712956,0.000103,0.028796,0.024822,0.000363,0.019575,37.972222,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.000301,19.241909,18.996291,0.000103,0.028743,0.025204,0.000135,0.01746,38.310881,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000156,19.245482,18.74009,0.000105,0.029289,0.030609,0.000188,0.017792,38.064402,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000186,19.217533,19.271555,0.000108,0.026753,0.025294,0.000217,0.018635,38.561035,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000177,19.20352,18.9645,0.000127,0.027519,0.026031,0.000312,0.018424,38.241307,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000275,19.379611,18.985697,0.000126,0.028118,0.025853,0.000294,0.018489,38.43922,256,0,256
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.000189,26.158061,25.419471,0.000131,0.031576,0.027437,0.000636,0.026024,51.664234,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000312,25.98636,26.289031,0.000127,0.032013,0.029015,0.000527,0.022859,52.360919,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000171,26.615327,26.429257,0.00013,0.032223,0.027717,0.000351,0.024364,53.13015,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000185,26.660687,26.803225,0.000133,0.029302,0.027034,0.0003,0.024416,53.54619,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000158,26.664074,26.367344,0.000132,0.033606,0.028186,0.000562,0.021008,53.115902,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000302,26.722697,26.745026,0.000157,0.031344,0.029332,0.000437,0.026919,53.556917,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000198,27.303849,26.426617,0.000128,0.030522,0.028392,0.000259,0.022999,53.813645,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000198,26.777862,26.501905,0.000124,0.031412,0.028171,0.000297,0.02458,53.365235,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000175,26.504652,27.493499,0.000154,0.035554,0.030067,0.000224,0.025075,54.090146,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000225,26.810931,26.259396,0.00013,0.032847,0.03071,0.000254,0.021196,53.156429,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000162,26.359286,26.598574,0.000137,0.03307,0.029193,0.000463,0.026659,53.04831,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000189,26.875609,26.250412,0.000128,0.032913,0.029666,0.000247,0.022929,53.213022,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.000306,27.142203,26.791466,0.000179,0.036326,0.028613,0.00069,0.044303,54.044853,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.000284,27.354948,26.838228,0.000268,0.035851,0.029768,0.000494,0.0444,54.305135,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.000204,27.046157,26.575103,0.000178,0.03496,0.029482,0.00048,0.042339,53.729637,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.000276,27.265987,26.865859,0.000246,0.035601,0.028371,0.000401,0.04242,54.240229,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.000258,26.976891,26.744151,0.000172,0.03456,0.02956,0.000365,0.042083,53.82888,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000303,27.303437,26.716364,0.000193,0.03451,0.029961,0.000318,0.041982,54.127844,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000275,26.99908,26.535914,0.000174,0.034129,0.029594,0.000305,0.040507,53.640694,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000298,27.277295,26.879576,0.000184,0.034337,0.030692,0.000353,0.040495,54.264609,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.000258,26.954625,26.524999,0.000212,0.033203,0.029301,0.000343,0.041945,53.585787,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.000324,27.31762,26.786243,0.000331,0.031463,0.030531,0.000389,0.042498,54.210207,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.000296,26.890027,26.479422,0.000184,0.032448,0.029306,0.000404,0.045211,53.478133,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.000299,27.403614,26.830569,0.000217,0.03236,0.031531,0.000367,0.043181,54.343119,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.000297,28.481912,26.510216,0.000408,0.035371,0.028918,0.000768,0.04465,55.103463,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.000436,27.463407,26.577001,0.000463,0.035004,0.029612,0.00095,0.04653,54.154202,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.000283,27.106951,27.652917,0.000286,0.0335,0.028708,0.000585,0.044621,54.8691,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.000292,27.307903,26.795956,0.000323,0.034926,0.028722,0.000585,0.042721,54.212251,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.000284,26.876161,26.948758,0.000384,0.033757,0.03109,0.000442,0.042764,53.934926,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.000271,27.064249,26.461231,0.000396,0.035231,0.028501,0.000491,0.04058,53.631813,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.000263,27.067748,26.693539,0.000374,0.034754,0.028883,0.000466,0.042977,53.869776,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Success",0.000301,27.112796,26.736417,0.00041,0.034477,0.030184,0.000771,0.045483,53.96174,2048,0,2048
