; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007532,"CurrentTimeLocal","Fri Jun  9 13:25:32 2017","Hostname","r02n01"
; "Time_ContextCreate [ms]", 0.000397
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000492,0.008048,0.001962,0.000423,0.22683,0.000483,0.000253,0.002533,0.2415,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000468,0.004851,0.00176,0.000176,0.000424,0.00025,5.8e-05,0.001176,0.009567,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000374,0.002595,0.001568,9.7e-05,0.000287,0.000223,4.4e-05,0.001182,0.006706,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000371,0.00257,0.001662,7.3e-05,0.000279,0.000219,4.5e-05,0.001168,0.006725,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000389,0.002553,0.001539,7.5e-05,0.000271,0.000221,4.5e-05,0.001182,0.006604,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000378,0.002495,0.00164,8e-05,0.000274,0.000225,4.5e-05,0.00116,0.006619,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000381,0.002557,0.001648,7.4e-05,0.000276,0.000223,4.8e-05,0.001209,0.006732,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000374,0.002523,0.001643,7.7e-05,0.000273,0.000222,4.5e-05,0.001184,0.006664,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000379,0.002537,0.001653,7.5e-05,0.000273,0.000212,4.6e-05,0.001204,0.006705,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000379,0.002479,0.001674,8e-05,0.000272,0.000222,4.4e-05,0.001181,0.006653,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000379,0.002485,0.001537,7.3e-05,0.00028,0.000222,4.4e-05,0.001171,0.006517,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000377,0.002528,0.001543,7.1e-05,0.000273,0.000228,4.6e-05,0.001157,0.00655,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000502,0.0231,0.018915,0.000491,0.027896,0.015727,0.000353,0.001886,0.089304,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000414,0.019835,0.017096,0.000353,0.006146,0.006158,0.000179,0.001457,0.052025,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000326,0.018489,0.01679,0.000386,0.005963,0.006055,0.000122,0.001301,0.049779,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000327,0.018298,0.016695,0.000373,0.005914,0.006023,0.000122,0.001234,0.049372,2888,0,2888
