; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014033,"CurrentTimeLocal","Fri Jun  9 15:13:53 2017","Hostname","c02n10"
; "Time_ContextCreate [ms]", 0.000159
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000839,0.015137,0.009962,0.005984,0.028689,0.026334,0.007552,0.010727,0.105727,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000485,0.015613,0.007576,0.010617,0.025414,0.025407,0.007419,0.010528,0.103545,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000589,0.011155,0.006959,0.009624,0.026338,0.025036,0.008265,0.010235,0.098644,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000634,0.010845,0.007168,0.009593,0.026768,0.027249,0.007419,0.011052,0.101149,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000627,0.011119,0.007109,0.009036,0.028656,0.026879,0.007892,0.010681,0.102458,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000639,0.010952,0.007312,0.008832,0.027095,0.026502,0.007794,0.010809,0.100404,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000341,0.009788,0.007239,0.009273,0.027036,0.026616,0.00748,0.010145,0.098382,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000599,0.011047,0.007021,0.009835,0.031033,0.026552,0.00757,0.010579,0.104628,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000429,0.010292,0.007095,0.009523,0.027762,0.026684,0.008098,0.009871,0.100184,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000441,0.009965,0.007213,0.009643,0.027696,0.026797,0.007621,0.010497,0.100274,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000596,0.0105,0.007141,0.009448,0.027907,0.02737,0.008207,0.010563,0.102049,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000553,0.010897,0.00706,0.009373,0.028213,0.027197,0.007625,0.010236,0.101669,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.000977,0.034988,0.023447,0.117594,0.419815,0.39612,0.144727,0.012304,1.150502,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000761,0.031513,0.024013,0.132886,0.266376,0.252106,0.141469,0.011721,0.86144,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000649,0.029311,0.022647,0.139181,0.255727,0.257456,0.141053,0.011782,0.858326,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000611,0.029294,0.022587,0.135205,0.254451,0.255707,0.142665,0.011533,0.85246,1042568,0,1042568
