; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007535,"CurrentTimeLocal","Fri Jun  9 13:25:35 2017","Hostname","r02n08"
; "Time_ContextCreate [ms]", 0.000327
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000507,0.007998,0.001792,0.000359,0.215437,0.000458,0.000269,0.002159,0.229476,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000552,0.004353,0.001673,0.000202,0.000383,0.000226,6.8e-05,0.001141,0.008996,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000482,0.002816,0.001597,0.000175,0.000289,0.000229,8.4e-05,0.001169,0.007209,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.00042,0.002809,0.001578,9e-05,0.000255,0.000229,7.6e-05,0.001143,0.006945,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000422,0.002711,0.001583,0.000143,0.00025,0.000223,5.3e-05,0.001156,0.006873,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000449,0.002715,0.001569,0.00016,0.000248,0.000231,5.2e-05,0.001164,0.006918,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000421,0.002718,0.001595,0.000139,0.000245,0.000227,5e-05,0.001125,0.006852,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000415,0.002771,0.001546,0.000144,0.000245,0.000229,5.2e-05,0.001139,0.006876,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000415,0.002732,0.00156,0.000144,0.000249,0.000222,5.7e-05,0.001139,0.006845,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000422,0.002713,0.001569,0.000144,0.000251,0.000224,5.5e-05,0.001135,0.006847,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000415,0.002706,0.001566,0.000141,0.000251,0.000227,5.3e-05,0.001146,0.006836,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000426,0.002738,0.001565,0.000145,0.000246,0.000226,5.7e-05,0.001145,0.006878,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000452,0.021666,0.018015,0.000517,0.024869,0.014972,0.000458,0.0018,0.083215,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000435,0.019418,0.016772,0.000318,0.006129,0.006132,0.00016,0.001267,0.051023,2888,0,2888
