; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014160,"CurrentTimeLocal","Fri Jun  9 15:16:00 2017","Hostname","c02n15"
; "Time_ContextCreate [ms]", 0.000206
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000691,0.014981,0.009266,0.006053,0.026723,0.025283,0.007466,0.010489,0.101489,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000542,0.010528,0.007192,0.008529,0.026174,0.025406,0.006938,0.010045,0.095859,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.00047,0.009647,0.007253,0.00963,0.026294,0.025675,0.007712,0.010189,0.097551,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000434,0.009602,0.006968,0.008603,0.027344,0.02708,0.007761,0.01003,0.098425,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.00043,0.009854,0.007064,0.008765,0.028029,0.027314,0.007709,0.011226,0.100922,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000431,0.010129,0.00705,0.008832,0.034932,0.025203,0.007861,0.010152,0.104934,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000435,0.009849,0.00694,0.008421,0.026504,0.025175,0.007837,0.01104,0.096615,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000462,0.009876,0.006947,0.009217,0.025056,0.02418,0.007483,0.010938,0.094626,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000452,0.010316,0.00695,0.008415,0.025813,0.024233,0.007163,0.010419,0.094377,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000454,0.009444,0.006944,0.008306,0.026797,0.026709,0.007085,0.010548,0.096914,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000471,0.009176,0.007004,0.008457,0.02773,0.027356,0.007834,0.010516,0.099004,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000491,0.0105,0.006979,0.008209,0.028373,0.027961,0.007484,0.010091,0.10066,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.000799,0.033268,0.023352,0.11748,1.271466,0.399529,0.139226,0.012844,1.998512,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000546,0.029949,0.025112,0.126629,0.259546,0.255991,0.139896,0.012087,0.850163,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000556,0.027705,0.025147,0.125814,0.904866,0.266634,0.141189,0.011645,1.504006,1042568,0,1042568
