; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_MEASURE","FftwTimeLimit [s]",600
; "Time_ContextCreate [ms]", 0.000351
; "Time_ContextDestroy [ms]", 0.000317
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,0,"Success",0.040362,0.000268,49.4522,0.000175,0.02144,0.017816,0.000273,0.01462,49.5081,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,1,"Success",0.039984,0.000266,49.7269,0.000176,0.018851,0.020119,0.000243,0.015289,49.7831,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,2,"Success",0.038825,0.000254,49.3753,0.00017,0.019481,0.018302,0.000219,0.016938,49.4317,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,3,"Success",0.038349,0.000278,49.3251,0.000172,0.017761,0.019464,0.000218,0.015515,49.3798,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,4,"Success",0.039873,0.000275,49.3771,0.000175,0.019007,0.019874,0.000201,0.017051,49.4349,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,0,"Success",0.040063,0.000258,81.4033,0.000221,0.021512,0.01739,0.00033,0.023357,81.4676,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,1,"Success",0.04078,0.00027,81.4357,0.000218,0.022919,0.016626,0.000372,0.023992,81.5014,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,2,"Success",0.035533,0.000267,81.1116,0.000216,0.017458,0.016905,0.000304,0.022929,81.1708,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,3,"Success",0.037932,0.000295,81.3351,0.000286,0.020053,0.016602,0.000308,0.023481,81.3975,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,4,"Success",0.034096,0.000279,81.7278,0.000233,0.018035,0.014932,0.000308,0.023069,81.7859,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,0,"Success",0.042537,0.000363,46.2054,0.000227,0.022309,0.018611,0.0005,0.02428,46.2732,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,1,"Success",0.040032,0.000354,47.0321,0.000237,0.020886,0.017746,0.000401,0.024522,47.0975,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,2,"Success",0.038761,0.000277,46.9321,0.000223,0.02114,0.016176,0.00044,0.023819,46.9954,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,3,"Success",0.03894,0.000284,46.2952,0.000237,0.020181,0.017434,0.000399,0.02346,46.3584,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,4,"Success",0.040219,0.000281,46.8695,0.000232,0.021839,0.016722,0.000397,0.027384,46.9379,1000,0,1000,45
