; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67309764608,"PlanFlags","FFTW_ESTIMATE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000188
; "Time_ContextDestroy [ms]", 0.000331
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,0,"Success",0,0.000159,0.087271,0.077846,0.000125,0.019171,0.018706,0.00029,0.005703,0.210486,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,1,"Success",0,0.000166,0.086888,0.077818,0.000122,0.019394,0.017593,0.000221,0.006207,0.209937,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,2,"Success",0,0.000211,0.086304,0.077414,0.000141,0.019404,0.018134,0.000217,0.005561,0.208893,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,3,"Success",0,0.000148,0.08629,0.077431,0.000134,0.020875,0.018027,0.00019,0.006768,0.211225,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,4,"Success",0,0.000171,0.086671,0.078013,0.00015,0.017251,0.018919,0.000159,0.005549,0.208261,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,0,"Success",0,0.000309,0.103335,0.104844,0.000136,0.0188,0.016672,0.000234,0.006215,0.251995,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,1,"Success",0,0.000206,0.102296,0.093065,0.000137,0.018312,0.017787,0.000198,0.008659,0.241963,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,2,"Success",0,0.000208,0.108885,0.0935,0.000149,0.017322,0.024374,0.000333,0.009514,0.255571,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,3,"Success",0,0.000157,0.102092,0.093122,0.000125,0.017345,0.016421,0.000155,0.008422,0.239262,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,4,"Success",0,0.00016,0.101781,0.092957,0.000145,0.017294,0.017022,0.00022,0.006675,0.237596,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,0,"Success",0,0.000181,0.110886,0.100965,0.000161,0.017425,0.017292,0.000188,0.011519,0.259847,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,1,"Success",0,0.00019,0.110217,0.104988,0.000146,0.016372,0.018014,0.000266,0.009252,0.260906,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,2,"Success",0,0.000157,0.109525,0.100859,0.000125,0.017246,0.016316,0.000197,0.009638,0.255326,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,3,"Success",0,0.000201,0.123597,0.101055,0.00015,0.017341,0.016999,0.000138,0.009878,0.270681,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,4,"Success",0,0.00018,0.109603,0.100612,0.000131,0.01662,0.01618,0.000199,0.009455,0.254262,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",7,7,0,0,"Success",0,0.000216,0.11624,0.106505,0.000157,0.020497,0.019551,0.000407,0.011059,0.276396,392,0,392,59
"Fftw","Inplace","Complex","float",2,"oddshape",7,7,0,1,"Success",0,0.000307,0.115948,0.105281,0.000133,0.019809,0.01852,0.000223,0.013563,0.275013,392,0,392,59
"Fftw","Inplace","Complex","float",2,"oddshape",7,7,0,2,"Success",0,0.000186,0.114962,0.105949,0.000137,0.02316,0.019096,0.000293,0.012256,0.277277,392,0,392,59
"Fftw","Inplace","Complex","float",2,"oddshape",7,7,0,3,"Success",0,0.000251,0.115064,0.105298,0.000142,0.018974,0.017084,0.000332,0.012844,0.271278,392,0,392,59
"Fftw","Inplace","Complex","float",2,"oddshape",7,7,0,4,"Success",0,0.0002,0.122173,0.106372,0.000115,0.01873,0.018307,0.000293,0.010576,0.278134,392,0,392,59
"Fftw","Inplace","Complex","float",2,"oddshape",5,25,0,0,"Success",0,0.000307,0.238745,0.226238,0.000267,0.022299,0.020631,0.00038,0.020667,0.531221,1000,0,1000,48
"Fftw","Inplace","Complex","float",2,"oddshape",5,25,0,1,"Success",0,0.0004,0.236065,0.226284,0.000197,0.028388,0.020907,0.000593,0.021806,0.536118,1000,0,1000,48
"Fftw","Inplace","Complex","float",2,"oddshape",5,25,0,2,"Success",0,0.000329,0.241213,0.226781,0.000212,0.02595,0.022347,0.000525,0.021687,0.540252,1000,0,1000,48
"Fftw","Inplace","Complex","float",2,"oddshape",5,25,0,3,"Success",0,0.000254,0.241681,0.227934,0.000197,0.021656,0.02624,0.000447,0.021719,0.54129,1000,0,1000,48
"Fftw","Inplace","Complex","float",2,"oddshape",5,25,0,4,"Success",0,0.000329,0.236324,0.232887,0.000225,0.024792,0.025721,0.000429,0.020438,0.542424,1000,0,1000,48
"Fftw","Inplace","Complex","float",2,"oddshape",7,49,0,0,"Success",0,0.00035,1.28732,1.15471,0.000279,0.1233,0.052113,0.001182,0.069187,2.6898,2744,0,2744,60
"Fftw","Inplace","Complex","float",2,"oddshape",7,49,0,1,"Success",0,0.000377,1.29254,1.1685,0.000316,0.113366,0.047725,0.000643,0.058824,2.6837,2744,0,2744,60
"Fftw","Inplace","Complex","float",2,"oddshape",7,49,0,2,"Success",0,0.00034,1.28526,1.17751,0.000297,0.100354,0.037248,0.000601,0.062374,2.66547,2744,0,2744,60
"Fftw","Inplace","Complex","float",2,"oddshape",7,49,0,3,"Success",0,0.000333,1.28324,1.2182,0.000277,0.100431,0.058693,0.000662,0.063232,2.72627,2744,0,2744,60
"Fftw","Inplace","Complex","float",2,"oddshape",7,49,0,4,"Success",0,0.000348,1.28871,1.22885,0.000297,0.08994,0.039396,0.000659,0.065294,2.71551,2744,0,2744,60
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,"Success",0,0.000363,3.45977,3.23217,0.000305,0.089986,0.028599,0.000675,0.01036,6.82358,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,"Success",0,0.000393,3.5853,3.26035,0.0003,0.094654,0.028432,0.0006,0.010301,6.98168,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,"Success",0,0.000289,3.59893,3.23213,0.000282,0.076131,0.02759,0.000411,0.010667,6.94792,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,"Success",0,0.000278,3.61472,3.2419,0.000282,0.084579,0.030187,0.000639,0.010642,6.9847,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,"Success",0,0.00035,3.65385,3.23167,0.000311,0.091851,0.028391,0.000709,0.011259,7.01977,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,"Success",0,0.000558,19.1895,18.8784,0.013086,0.250878,0.14568,0.007536,0.081656,38.5684,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,"Success",0,0.000483,19.2098,18.8809,0.013921,0.168191,0.145951,0.007107,0.092284,38.5199,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,"Success",0,0.000497,19.1526,18.8643,0.012711,0.184348,0.134397,0.006785,0.084236,38.4412,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,3,"Success",0,0.000476,19.0541,19.067,0.011961,0.186201,0.122471,0.006467,0.074338,38.5242,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,4,"Success",0,0.000538,19.0776,18.857,0.012459,0.173813,0.138229,0.0077,0.077508,38.346,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,0,"Success",0,0.000447,59.1124,59.3911,0.138993,0.751256,1.24395,0.16385,0.137809,120.941,1.04257e+06,0,1.04257e+06,70
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,1,"Success",0,0.000381,58.8706,59.045,0.134719,1.12648,1.23393,0.157894,0.137904,120.708,1.04257e+06,0,1.04257e+06,70
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,2,"Success",0,0.000379,58.9919,58.8789,0.13638,1.29001,1.27862,0.169748,0.144033,120.892,1.04257e+06,0,1.04257e+06,70
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,3,"Success",0,0.000361,59.3275,58.9857,0.13438,1.3446,1.27021,0.168165,0.141129,121.374,1.04257e+06,0,1.04257e+06,70
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,4,"Success",0,0.00041,59.0906,59.0846,0.133065,1.27745,1.34212,0.163317,0.149248,121.243,1.04257e+06,0,1.04257e+06,70
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,0,"Success",0,0.001249,97.5072,98.7827,2.01566,16.8142,14.2602,2.52337,0.196814,232.104,1.98088e+07,0,1.98088e+07,71
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,1,"Success",0,0.000854,99.8662,100.062,1.87612,19.0542,19.256,2.68396,0.192352,242.993,1.98088e+07,0,1.98088e+07,71
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,2,"Success",0,0.001194,97.2932,98.4158,1.87491,20.7389,16.9208,3.00075,0.245946,238.493,1.98088e+07,0,1.98088e+07,71
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,3,"Success",0,0.001079,101.804,97.1706,1.87931,16.7653,16.7905,2.8289,0.223904,237.465,1.98088e+07,0,1.98088e+07,71
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,4,"Success",0,0.00086,109.093,110.773,1.98262,16.516,15.5555,2.76761,0.22718,256.919,1.98088e+07,0,1.98088e+07,71
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,0,"Success",0,0.003717,178.674,173.055,197.058,628.552,613.547,39.3946,11.3142,1841.6,3.76367e+08,0,3.76367e+08,72
