; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_ESTIMATE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000361
; "Time_ContextDestroy [ms]", 0.000331
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,0,"Success",0.040296,0.000208,0.498082,0.000202,0.021074,0.018026,0.000287,0.015071,0.554362,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,1,"Success",0.041937,0.000209,0.527476,0.000198,0.021766,0.018879,0.000281,0.014545,0.584705,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,2,"Success",0.03886,0.000194,0.499111,0.000173,0.020867,0.017009,0.00021,0.015436,0.554091,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,3,"Success",0.040373,0.000181,0.489259,0.000173,0.020655,0.018252,0.000202,0.015374,0.545809,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,3,4,"Success",0.044102,0.000217,0.491773,0.000173,0.023043,0.019863,0.000237,0.014654,0.551366,216,0,216,28
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,0,"Success",0.049225,0.000238,1.02799,0.000212,0.026255,0.021659,0.000324,0.028519,1.10664,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,1,"Success",0.047662,0.000205,1.02992,0.000226,0.025971,0.02055,0.000315,0.030015,1.10841,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,2,"Success",0.053586,0.000239,1.0395,0.000214,0.030551,0.021682,0.000398,0.029959,1.12379,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,3,"Success",0.052107,0.000206,1.02697,0.000202,0.028128,0.022602,0.000323,0.030706,1.11069,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",3,3,9,4,"Success",0.056891,0.000186,1.02775,0.000211,0.033722,0.021918,0.000251,0.029073,1.11449,648,0,648,29
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,0,"Success",0.058237,0.000218,0.996989,0.000271,0.031562,0.025289,0.000445,0.038652,1.09487,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,1,"Success",0.064878,0.000197,0.993029,0.000286,0.031306,0.032316,0.000363,0.042295,1.10098,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,2,"Success",0.049434,0.000212,0.992803,0.000273,0.024239,0.024096,0.000246,0.037827,1.08096,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,3,"Success",0.050963,0.000209,1.03015,0.000263,0.027511,0.022237,0.000371,0.038,1.11992,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",5,5,5,4,"Success",0.05129,0.000226,0.995443,0.000246,0.027809,0.022245,0.000344,0.036804,1.08434,1000,0,1000,45
"Fftw","Inplace","Complex","float",3,"oddshape",3,9,9,0,"Success",0.118382,0.000329,1.49932,0.000268,0.093573,0.023284,0.000619,0.040944,1.65954,1944,0,1944,30
"Fftw","Inplace","Complex","float",3,"oddshape",3,9,9,1,"Success",0.122216,0.000297,1.5076,0.000288,0.089571,0.031063,0.000543,0.042672,1.67331,1944,0,1944,30
"Fftw","Inplace","Complex","float",3,"oddshape",3,9,9,2,"Success",0.092983,0.000297,1.50025,0.000278,0.068531,0.022904,0.00054,0.041552,1.63575,1944,0,1944,30
