; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_MEASURE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000632
; "Time_ContextDestroy [ms]", 0.000307
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0,0.000214,0.875587,0.868314,0.000129,0.000543,0.000282,0.000108,0.000591,1.74673,152,0,152,51
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0,0.000205,0.884262,0.870658,0.000139,0.000434,0.00027,0.000108,0.000637,1.75768,152,0,152,51
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0,0.000208,0.872863,0.880683,0.00013,0.000423,0.00027,0.000108,0.000514,1.75618,152,0,152,51
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0,0.000209,0.869057,0.874667,0.000117,0.000383,0.00028,0.000116,0.000525,1.74629,152,0,152,51
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0,0.000218,0.924998,0.842604,0.000125,0.000369,0.000273,0.00011,0.000633,1.7703,152,0,152,51
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0,0.000383,13.2686,12.7888,0.000489,0.036228,0.036271,0.000249,0.014868,26.1472,2888,0,2888,52
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0,0.000376,13.1421,12.7003,0.000475,0.035242,0.02885,0.000257,0.015889,25.9247,2888,0,2888,52
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0,0.000344,13.2126,12.7409,0.00041,0.034948,0.032614,0.000199,0.016008,26.0391,2888,0,2888,52
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0,0.000403,13.0985,12.8458,0.000582,0.03395,0.032736,0.000247,0.015692,26.0292,2888,0,2888,52
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0,0.000359,13.1533,12.7726,0.000549,0.033548,0.030231,0.000601,0.0141,26.0066,2888,0,2888,52
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0,0.000307,190.308,189.407,0.004521,0.065099,0.073139,0.003448,0.098815,379.961,54872,0,54872,53
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0,0.000612,202.083,189.623,0.004442,0.072613,0.076839,0.003924,0.110319,391.976,54872,0,54872,53
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0,0.000501,189.03,188.523,0.004383,0.068039,0.059452,0.006567,0.109199,377.802,54872,0,54872,53
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0,0.000551,189.711,188.886,0.004443,0.059594,0.0652,0.00626,0.11169,378.846,54872,0,54872,53
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0,0.000653,190.131,184.561,0.004561,0.077037,0.082538,0.006666,0.103485,374.968,54872,0,54872,53
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"Success",0,0.000435,300.906,292.46,0.142309,0.474553,0.402736,0.137313,0.15704,594.681,1.04257e+06,0,1.04257e+06,54
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Success",0,0.000342,304.926,301.626,0.140295,0.487908,0.415404,0.137793,0.147283,607.883,1.04257e+06,0,1.04257e+06,54
