; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_MEASURE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000391
; "Time_ContextDestroy [ms]", 0.000317
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,0,"Success",0.001213,0.000288,22.4968,0.000204,0.000261,0.000167,0.000121,0.000882,22.4997,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,1,"Success",0.001244,0.000255,22.3312,0.000199,0.000285,0.000152,0.000125,0.000902,22.3342,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,2,"Success",0.001241,0.000271,22.3123,0.000198,0.000299,0.000163,0.000135,0.000887,22.3152,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,3,"Success",0.001301,0.000278,22.5953,0.000218,0.000315,0.000178,0.00012,0.000902,22.5982,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",3,3,0,4,"Success",0.001271,0.000257,22.221,0.000217,0.000308,0.000161,0.000137,0.000865,22.2239,72,0,72,29
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,0,"Success",0.039805,0.000274,19.4346,0.000196,0.020328,0.017546,0.000169,0.010006,19.4853,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,1,"Success",0.04018,0.000281,19.3156,0.000186,0.019517,0.018971,0.000149,0.007785,19.3646,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,2,"Success",0.039763,0.000283,19.3,0.000186,0.018599,0.018799,0.000211,0.008876,19.3495,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,3,"Success",0.038289,0.000288,19.5195,0.000179,0.018099,0.018514,0.000203,0.009906,19.5686,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",5,5,0,4,"Success",0.03645,0.000263,19.5982,0.000174,0.01775,0.016773,0.000219,0.009449,19.645,200,0,200,47
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,0,"Success",0.020233,0.000291,37.3246,0.000207,0.010499,0.008226,0.000165,0.008752,37.3547,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,1,"Success",0.020298,0.000357,37.1203,0.0002,0.009968,0.008724,0.000203,0.009407,37.151,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,2,"Success",0.020846,0.000295,36.8676,0.000182,0.010662,0.008471,0.000231,0.008728,36.8981,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,3,"Success",0.019581,0.000316,37.2721,0.000189,0.009701,0.008152,0.000184,0.009216,37.3019,216,0,216,30
"Fftw","Inplace","Complex","float",2,"oddshape",3,9,0,4,"Success",0.021385,0.00032,37.1468,0.000184,0.011299,0.008508,0.000205,0.009283,37.1784,216,0,216,30
