; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_WISDOM_ONLY","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000378
; "Time_ContextDestroy [ms]", 0.000317
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000418,0,0,0,0,0,0,0,0,152,0,152,68
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.00071,0,0,0,0,0,0,0,0,2888,0,2888,69
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,69
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000714,0,0,0,0,0,0,0,0,54872,0,54872,70
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000881,0,0,0,0,0,0,0,0,1.04257e+06,0,1.04257e+06,71
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,71
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.004744,0,0,0,0,0,0,0,0,1.98088e+07,0,1.98088e+07,72
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,72
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.00365,0,0,0,0,0,0,0,0,3.76367e+08,0,3.76367e+08,73
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,73
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,"Success",0,0.000212,0.006302,0.003095,0.000172,0.000225,0.000103,9.1e-05,0.00037,0.011325,32,0,32,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,"Success",0,0.000326,0.006194,0.003114,0.000173,0.000215,0.000103,8.3e-05,0.000382,0.011281,32,0,32,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,"Success",0,0.000244,0.00571,0.003048,0.000162,0.000192,0.000102,6.7e-05,0.000342,0.010557,32,0,32,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,"Success",0,0.00025,0.00599,0.003064,0.000166,0.000199,0.000103,8e-05,0.000388,0.01094,32,0,32,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,"Success",0,0.000232,0.005596,0.003038,0.000162,0.000237,0.000102,7.3e-05,0.000342,0.010451,32,0,32,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,"Success",0,0.000566,0.005257,0.003261,0.000135,0.000196,0.00011,9.1e-05,0.000398,0.010738,64,0,64,1
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,"Success",0,0.000459,0.004752,0.003151,0.000135,0.00019,9.5e-05,7.6e-05,0.000378,0.009947,64,0,64,1
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,"Success",0,0.00046,0.004851,0.003141,0.000134,0.000185,9.6e-05,8.7e-05,0.000382,0.01004,64,0,64,1
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,"Success",0,0.000429,0.004879,0.003067,0.000131,0.000191,9.6e-05,7.2e-05,0.000401,0.009954,64,0,64,1
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,"Success",0,0.000473,0.004737,0.00308,0.000131,0.000179,9.5e-05,9.3e-05,0.000381,0.009863,64,0,64,1
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,"Success",0,0.000518,0.005372,0.003457,0.000134,0.000245,0.000174,0.000105,0.000585,0.011301,128,0,128,2
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,"Success",0,0.000621,0.005328,0.00345,0.000143,0.000236,0.000186,9.5e-05,0.000557,0.011267,128,0,128,2
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,"Success",0,0.000516,0.005494,0.003499,0.000135,0.000255,0.00017,8.3e-05,0.000531,0.011325,128,0,128,2
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,"Success",0,0.00049,0.005177,0.003428,0.000136,0.000242,0.000187,9e-05,0.000547,0.010973,128,0,128,2
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,"Success",0,0.000531,0.005242,0.003335,0.000139,0.000245,0.000178,8.8e-05,0.000542,0.010957,128,0,128,2
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,"Success",0,0.000366,0.006134,0.003375,0.00015,0.000365,0.000274,9.2e-05,0.000541,0.011994,256,0,256,3
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,"Success",0,0.00034,0.005674,0.003323,0.000142,0.000351,0.000314,8.6e-05,0.000583,0.011502,256,0,256,3
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,"Success",0,0.000276,0.005585,0.003329,0.00014,0.000393,0.000288,8.5e-05,0.000512,0.0113,256,0,256,3
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,"Success",0,0.000274,0.005617,0.003268,0.000141,0.000291,0.000275,8.6e-05,0.000538,0.011156,256,0,256,3
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,"Success",0,0.000255,0.005441,0.003281,0.000139,0.000285,0.000315,8.6e-05,0.00055,0.011057,256,0,256,3
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,"Success",0,0.000442,0.025586,0.017409,0.000157,0.000512,0.000311,0.000106,0.000813,0.046069,512,0,512,4
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,"Success",0,0.000396,0.025115,0.017451,0.000173,0.000453,0.000324,0.000104,0.000789,0.045491,512,0,512,4
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,"Success",0,0.000433,0.025204,0.01725,0.00015,0.000487,0.00035,0.000109,0.000857,0.045545,512,0,512,4
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,"Success",0,0.000472,0.025072,0.017457,0.000168,0.000452,0.000366,9.7e-05,0.0008,0.045579,512,0,512,4
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,"Success",0,0.000419,0.024949,0.017328,0.000165,0.000474,0.00034,9.8e-05,0.000774,0.045233,512,0,512,4
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,"Success",0,0.00062,0.029062,0.02396,0.000193,0.001183,0.000562,0.00013,0.001572,0.057987,1024,0,1024,5
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,"Success",0,0.000608,0.029178,0.023903,0.000208,0.001168,0.000617,0.000132,0.001602,0.058147,1024,0,1024,5
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,"Success",0,0.000564,0.0288,0.023842,0.000201,0.00121,0.000573,0.000134,0.001561,0.057594,1024,0,1024,5
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,"Success",0,0.000565,0.02859,0.023693,0.000193,0.00113,0.000639,0.000118,0.00154,0.057143,1024,0,1024,5
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,"Success",0,0.000588,0.029015,0.023963,0.000208,0.001166,0.000602,0.000139,0.001529,0.057926,1024,0,1024,5
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,0,"Success",0,0.000507,0.031742,0.018808,0.000265,0.001505,0.000894,0.000128,0.001026,0.055593,2048,0,2048,6
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,1,"Success",0,0.000534,0.031794,0.018692,0.000273,0.001393,0.000877,0.000126,0.000998,0.055387,2048,0,2048,6
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,2,"Success",0,0.000577,0.030958,0.018774,0.000264,0.001449,0.000922,0.000121,0.000964,0.054738,2048,0,2048,6
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,3,"Success",0,0.000542,0.031826,0.018832,0.000261,0.00135,0.000879,0.000126,0.001018,0.055557,2048,0,2048,6
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,4,"Success",0,0.000606,0.031745,0.018687,0.000252,0.00147,0.000926,0.000121,0.000985,0.055478,2048,0,2048,6
"Fftw","Inplace","Complex","float",1,"powerof2",512,0,0,0,"Success",0,0.000602,0.038333,0.033166,0.000388,0.002071,0.001624,0.000171,0.001166,0.078224,4096,0,4096,7
"Fftw","Inplace","Complex","float",1,"powerof2",512,0,0,1,"Success",0,0.000567,0.038148,0.033393,0.000369,0.002067,0.001581,0.000177,0.001195,0.078236,4096,0,4096,7
"Fftw","Inplace","Complex","float",1,"powerof2",512,0,0,2,"Success",0,0.000562,0.037595,0.033241,0.000364,0.00189,0.00158,0.000166,0.001177,0.077298,4096,0,4096,7
