; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312496640,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1494949962,"CurrentTimeLocal","Tue May 16 17:52:42 2017"
; "Time_ContextCreate [ms]", 0.000368
; "Time_ContextDestroy [ms]", 0.000137
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000377,0.381605,0.327434,0.000266,0.001093,0.000445,0.00018,0.001037,0.713791,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000437,0.355525,0.322078,0.000194,0.000672,0.000433,0.000184,0.000951,0.681784,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000421,0.339841,0.321216,0.000195,0.000587,0.000415,0.00019,0.000852,0.665013,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000387,0.336937,0.321164,0.000164,0.000579,0.000399,0.00019,0.000862,0.66204,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000373,0.340377,0.321943,0.000202,0.000609,0.000417,0.000164,0.000926,0.66634,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000373,0.339407,0.328969,0.000219,0.000603,0.000417,0.000176,0.000841,0.672334,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000343,0.338695,0.329562,0.000221,0.000643,0.000411,0.000178,0.000868,0.672254,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000331,0.338015,0.330544,0.000206,0.000625,0.000385,0.000166,0.000866,0.672433,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000345,0.337769,0.33558,0.000205,0.000553,0.000397,0.000192,0.000816,0.67719,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000357,0.345872,0.321248,0.000208,0.000585,0.000405,0.000191,0.000834,0.670993,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000409,0.347446,0.321265,0.000214,0.000617,0.000401,0.000178,0.00083,0.672663,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000411,0.346964,0.319786,0.00022,0.000599,0.000397,0.000179,0.000892,0.670733,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000642,2.973663,2.885975,0.000675,0.227225,0.068956,0.000726,0.042315,6.202215,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000672,2.946944,2.888136,0.000581,0.116293,0.069812,0.000802,0.041216,6.066608,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.00065,2.930017,2.858474,0.000593,0.12113,0.069789,0.000856,0.04461,6.028138,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000589,2.95785,2.871918,0.000549,0.108408,0.078333,0.000868,0.042433,6.063115,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.000709,2.931402,2.874659,0.000601,0.113804,0.073817,0.000862,0.043088,6.041064,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.000646,2.936883,2.871575,0.000551,0.128862,0.070045,0.000804,0.040569,6.052128,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.0007,2.950158,2.866205,0.000566,0.11947,0.085482,0.001048,0.042863,6.06848,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000595,2.948099,2.892806,0.000561,0.110842,0.063635,0.000864,0.040763,6.060343,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000635,2.929571,2.865497,0.00064,0.118468,0.064556,0.000855,0.042699,6.037901,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000615,2.956481,2.87646,0.000625,0.113737,0.069799,0.000856,0.044045,6.064711,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000693,2.944818,2.866206,0.000535,0.115391,0.065248,0.000836,0.057409,6.053327,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000668,2.934013,2.86417,0.000598,0.118161,0.065683,0.000862,0.042136,6.028194,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000605,36.12027,36.090374,0.009552,0.226509,0.174966,0.011361,0.150837,72.786432,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000742,36.170143,36.104498,0.011946,0.23073,0.171925,0.011328,0.144012,72.847139,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000601,37.914849,36.087287,0.010471,0.228865,0.195822,0.020522,0.138611,74.598737,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000737,36.117306,36.094034,0.01044,0.210614,0.156147,0.011176,0.144294,72.746653,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000719,36.115155,36.120044,0.009408,0.202275,0.150835,0.010657,0.145226,72.756167,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.0007,36.14897,36.115163,0.011824,0.212688,0.166857,0.01068,0.143235,72.811969,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000624,36.110576,36.059555,0.011389,0.248726,0.16931,0.012228,0.13662,72.750772,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000601,36.135926,36.095519,0.011168,0.246542,0.178405,0.011964,0.144098,72.825898,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000735,36.085393,36.074819,0.010611,0.206154,0.156399,0.011547,0.150889,72.698663,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000668,36.102016,36.088034,0.010521,0.208714,0.151885,0.011196,0.137005,72.711911,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.00082,36.108695,36.051961,0.012301,0.2165,0.164393,0.011679,0.145332,72.713779,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000608,36.126393,36.10578,0.009825,0.22642,0.179643,0.011327,0.146744,72.808492,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000812,54.079997,52.471296,0.256742,3.312825,2.718889,0.16158,0.257676,113.262206,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000701,54.585774,52.33717,0.183601,9.795669,2.817681,0.220313,0.264117,120.207935,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000663,53.91525,52.386088,0.184392,3.024286,2.76047,0.160628,0.257322,112.691529,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000714,53.909083,52.374214,0.201387,3.158464,2.755393,0.160404,0.256341,112.818602,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000737,53.888654,52.24945,0.189368,3.238356,2.712951,0.161553,0.260077,112.703839,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000695,53.947128,52.307213,0.190951,3.114066,2.794834,0.161085,0.255307,112.773715,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000724,53.897909,52.274713,0.189269,3.157036,2.847096,0.164397,0.256074,112.78977,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000752,53.928816,52.329224,0.188814,3.194672,2.858028,0.160521,0.258078,112.921113,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000763,53.879398,52.271092,0.190949,3.183838,2.705195,0.160393,0.257574,112.651767,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000786,54.001369,52.298539,0.188219,3.074155,2.819351,0.160656,0.259028,112.804644,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000746,53.858512,52.308549,0.18799,3.345972,2.703203,0.16075,0.253366,112.821761,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000725,53.909331,52.304733,0.189923,3.121105,2.990179,0.160682,0.251287,112.930154,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.00122,116.869552,79.850917,3.471915,15.40241,14.608381,3.171485,0.193378,233.571539,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.001305,106.884943,80.052996,3.409944,15.342037,14.627348,3.174344,0.193424,223.688573,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.001305,106.906279,80.027306,3.476546,15.329897,14.619873,3.158102,0.190669,223.712067,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.001152,107.026683,79.812967,3.465394,15.334736,14.614537,3.174599,0.194006,223.626592,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.001101,106.880779,79.818507,3.40531,15.362708,14.644396,3.154103,0.194359,223.463345,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.001016,106.83912,79.80589,3.404238,15.450534,14.635132,3.163405,0.196828,223.49826,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.001147,106.908047,79.761621,3.463076,15.29378,14.620401,3.16992,0.194799,223.415049,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.001049,106.883826,79.872913,3.530615,15.310839,14.656652,3.191208,0.193287,223.64251,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.0011,106.879447,79.820674,3.489316,15.457509,14.645389,3.163701,0.194593,223.653737,19808792,0,19808792
