; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312496640,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1489874391,"CurrentTimeLocal","Sat Mar 18 22:59:51 2017"
; "Time_ContextCreate [ms]", 0.000368
; "Time_ContextDestroy [ms]", 0.000364
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Success",0.000335,6.509563,6.11051,0.009994,0.115194,0.064985,0.005875,0.068582,12.886346,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Success",0.000326,6.531696,6.138247,0.009486,0.161291,0.107443,0.006098,0.057565,13.013636,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000375,6.549091,6.122291,0.007696,0.122384,0.058767,0.005044,0.058891,12.925833,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000462,6.547361,6.129949,0.006576,0.120753,0.071278,0.005477,0.054179,12.937315,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000319,6.519302,6.114636,0.010716,0.114105,0.090421,0.005153,0.054332,12.91024,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000381,6.514984,6.105491,0.00874,0.140505,0.081351,0.005862,0.054805,12.913563,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000389,6.531926,6.125276,0.009907,0.120782,0.050553,0.005248,0.055123,12.900496,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000392,6.504494,6.116296,0.008575,0.129545,0.058415,0.005041,0.05791,12.881939,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000369,6.5154,6.100228,0.005336,0.119322,0.058218,0.005502,0.056603,12.862271,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000433,6.436239,6.124803,0.009637,0.113342,0.054041,0.004955,0.056332,12.8011,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Success",0.00041,19.611476,19.369925,0.116801,0.468098,0.679568,0.179655,0.102561,40.530186,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Success",0.000432,19.572855,19.461105,0.117371,0.407209,0.407664,0.174067,0.093878,40.23614,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000428,19.708231,19.399187,0.11176,0.802348,0.708064,0.175053,0.095578,41.00224,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000432,19.708612,19.439205,0.115983,0.809898,0.719946,0.172078,0.100265,41.067802,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000404,19.696082,19.413591,0.117588,0.785856,0.709644,0.174898,0.090248,40.989886,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000436,19.719863,19.410947,0.113745,0.818124,0.731314,0.177177,0.092494,41.065439,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000397,19.6939,19.412436,0.115698,0.792521,0.722063,0.174559,0.094821,41.007933,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000515,19.654133,19.381016,0.113356,0.777678,0.696377,0.179321,0.094435,40.898274,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.000478,19.579864,19.420247,0.115652,0.793164,0.710406,0.174787,0.093335,40.889432,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000383,19.73366,19.52609,0.112148,0.805725,0.718427,0.172881,0.093518,41.164394,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Success",0.000526,36.168133,36.003313,1.963946,11.550366,6.870533,2.464471,0.133288,95.155863,19808792,0,19808792
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Success",0.000612,36.019483,35.942874,1.792865,10.38659,8.165025,2.546292,0.136523,94.991518,19808792,0,19808792
