; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312496640,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1495079896,"CurrentTimeLocal","Thu May 18 05:58:16 2017"
; "Time_ContextCreate [ms]", 0.000258
; "Time_ContextDestroy [ms]", 0.000229
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000415,1.088177,1.022875,0.000255,0.000657,0.000413,0.00018,0.001,2.115303,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000326,1.001442,1.045691,0.000265,0.000547,0.000413,0.000174,0.00086,2.051431,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000331,1.004446,1.024926,0.000243,0.000485,0.000407,0.000172,0.000832,2.033184,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000374,1.007644,1.032835,0.000209,0.000668,0.000413,0.000163,0.00077,2.044849,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000341,1.007697,1.02179,0.000241,0.000497,0.000405,0.000172,0.001104,2.033803,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000385,1.021788,1.032937,0.000245,0.000457,0.000401,0.000188,0.000774,2.058884,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000407,0.984811,1.000761,0.000221,0.000473,0.000419,0.000164,0.000838,1.989635,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000303,0.993669,1.006412,0.000222,0.000512,0.000417,0.000175,0.001044,2.004594,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000376,0.985346,1.002143,0.000228,0.000467,0.000399,0.000173,0.000816,1.991537,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000355,0.998211,1.017335,0.000232,0.017008,0.000391,0.000178,0.00078,2.035822,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000423,1.004618,1.024019,0.000251,0.000509,0.00039,0.00016,0.000911,2.032976,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000409,1.00759,1.029866,0.000241,0.000631,0.000411,0.000158,0.000846,2.041532,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.00053,17.216225,16.718377,0.000826,0.046562,0.046847,0.000958,0.021245,34.053435,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000485,17.27519,16.759401,0.000862,0.052767,0.052316,0.000955,0.020698,34.164803,2888,0,2888
