; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312496640,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1495197268,"CurrentTimeLocal","Fri May 19 14:34:28 2017"
; "Time_ContextCreate [ms]", 0.000398
; "Time_ContextDestroy [ms]", 0.000255
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000562,43.407821,42.476454,0.00056,0.06101,0.053177,0.000854,0.035557,86.04018,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000537,42.694347,42.399455,0.000571,0.048299,0.046856,0.000784,0.014165,85.208205,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000578,42.760687,42.894641,0.000567,0.047416,0.045349,0.000846,0.012327,85.764747,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.00057,42.420291,42.608938,0.000557,0.044823,0.051695,0.000814,0.014949,85.144961,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000549,42.782296,43.119214,0.000661,0.048231,0.047681,0.001018,0.011586,86.014055,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000612,42.62297,43.16947,0.000582,0.049504,0.044633,0.000912,0.013999,85.904824,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000556,42.350384,43.17496,0.000544,0.045544,0.044652,0.00066,0.013983,85.634184,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000559,42.6963,42.439032,0.000587,0.048004,0.04367,0.000704,0.017481,85.248452,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000643,42.396522,43.033812,0.000593,0.046444,0.045979,0.000734,0.019411,85.54747,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000594,42.28357,42.503715,0.000688,0.045011,0.048455,0.000888,0.014909,84.89979,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000573,42.427962,42.937499,0.000672,0.048141,0.044001,0.000673,0.014704,85.477415,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000585,42.523105,42.591801,0.000653,0.052008,0.045663,0.000748,0.015277,85.233381,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.00071,249.079124,250.921479,0.012588,0.097327,0.081796,0.011403,0.103322,500.310146,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000609,247.255814,250.070224,0.013523,0.092233,0.077034,0.01183,0.106537,497.63055,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000589,252.405766,246.550258,0.014428,0.093579,0.079544,0.010735,0.107749,499.265218,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.000563,246.049367,251.107436,0.012846,0.090247,0.086255,0.010517,0.102641,497.462648,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.000616,249.578994,249.514888,0.013742,0.086727,0.078694,0.011039,0.098428,499.385301,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,5,69,"Success",0.000575,248.340716,246.197836,0.013802,0.091624,0.082116,0.010832,0.106011,494.845439,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,6,69,"Success",0.000654,246.992071,247.114383,0.013629,0.093191,0.088452,0.009899,0.101859,494.41618,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,7,69,"Success",0.000564,247.501578,246.009723,0.013673,0.08854,0.078016,0.010727,0.102535,493.808072,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,8,69,"Success",0.000712,244.675865,250.363495,0.013311,0.092139,0.082602,0.011477,0.100723,495.342599,54872,0,54872
