; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312496640,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1489992879,"CurrentTimeLocal","Mon Mar 20 07:54:39 2017"
; "Time_ContextCreate [ms]", 0.000361
; "Time_ContextDestroy [ms]", 0.000317
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Success",0.0003,72.641872,73.037225,0.010111,0.0468,0.041061,0.004609,0.053717,145.837132,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Success",0.000339,72.855945,73.073853,0.00972,0.047508,0.039826,0.004811,0.053285,146.0865,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000306,72.797362,73.174076,0.009766,0.04669,0.040284,0.004757,0.054287,146.129021,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000341,73.058697,73.73925,0.010127,0.04397,0.040088,0.005131,0.053413,146.952431,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000345,72.812112,73.180408,0.009844,0.048898,0.040258,0.004509,0.054005,146.151853,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000298,72.822122,72.934957,0.009669,0.04722,0.040891,0.004592,0.054825,145.91589,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000401,72.700975,73.161705,0.009347,0.048827,0.040578,0.004278,0.054822,146.022415,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000335,72.424263,72.795694,0.009114,0.047553,0.040681,0.005075,0.054407,145.378669,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000311,72.507191,73.420835,0.008797,0.046492,0.041216,0.00488,0.054651,146.086031,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000336,72.812298,72.884239,0.009738,0.044871,0.039579,0.004546,0.056071,145.853054,54872,0,54872
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Success",0.0004,418.321049,410.440708,0.159561,0.307716,0.288345,0.137106,0.100877,829.75746,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Success",0.000423,418.904497,421.865083,0.161588,0.29944,0.275507,0.137576,0.111702,841.757499,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000418,425.171315,419.767497,0.16255,0.329545,0.281384,0.137363,0.101051,845.952898,1042568,0,1042568
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000368,411.104789,421.645466,0.165193,0.295379,0.278084,0.137397,0.127858,833.756632,1042568,0,1042568
