; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496838955,"CurrentTimeLocal","Wed Jun  7 14:35:55 2017","Hostname","c01n02"
; "Time_ContextCreate [ms]", 0.000143
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.00054,0.007292,0.001598,0.000324,0.173694,0.000401,0.000137,0.002054,0.18655,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000567,0.004136,0.001497,0.000152,0.000396,0.000243,4.3e-05,0.001121,0.008593,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000469,0.003109,0.001426,0.000147,0.000238,0.000284,5.6e-05,0.001017,0.007091,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000478,0.002806,0.001416,0.000111,0.000207,0.000252,4.5e-05,0.001005,0.006656,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000483,0.003444,0.001458,0.000111,0.00028,0.000296,4.3e-05,0.001006,0.007458,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000454,0.002857,0.00144,0.000112,0.000212,0.000248,3.4e-05,0.000989,0.006674,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.00043,0.002895,0.001436,0.000153,0.000207,0.00025,3.9e-05,0.001004,0.006755,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000424,0.002854,0.001443,0.000132,0.000198,0.000256,3.4e-05,0.001003,0.006674,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000462,0.002825,0.001432,0.000133,0.000198,0.000249,3.6e-05,0.001004,0.006678,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000422,0.002831,0.001431,0.000156,0.000197,0.000243,3.6e-05,0.001,0.006653,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.00043,0.003105,0.00143,0.000111,0.000213,0.000258,3.5e-05,0.000995,0.006906,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000435,0.003071,0.001437,0.000114,0.000207,0.000247,3.5e-05,0.000995,0.006869,152,0,152
