; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496840385,"CurrentTimeLocal","Wed Jun  7 14:59:45 2017","Hostname","c01n12"
; "Time_ContextCreate [ms]", 0.000156
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000542,0.006547,0.001708,0.000366,0.184527,0.000414,0.000252,0.001991,0.196773,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000514,0.00427,0.00162,0.000181,0.000382,0.000267,5.6e-05,0.001049,0.008675,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.00051,0.00301,0.001537,0.000113,0.000294,0.000213,5.4e-05,0.001032,0.007077,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.00034,0.002464,0.001461,7.7e-05,0.000234,0.000242,4.8e-05,0.001007,0.00619,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000516,0.002859,0.00147,0.00011,0.000217,0.000225,6.6e-05,0.001006,0.006789,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000351,0.00238,0.00145,7.6e-05,0.000204,0.000206,4.6e-05,0.001003,0.006029,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000355,0.002399,0.001484,7.7e-05,0.000202,0.000204,4.8e-05,0.001002,0.006089,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000357,0.002402,0.001462,7.8e-05,0.000204,0.000206,4.6e-05,0.001002,0.00607,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000363,0.002375,0.001463,7.7e-05,0.000205,0.000205,5.5e-05,0.001002,0.00606,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000347,0.002414,0.001504,7.9e-05,0.000204,0.000206,4.7e-05,0.001003,0.006118,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000359,0.002466,0.001437,8.1e-05,0.000202,0.000204,6.6e-05,0.001005,0.006129,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000351,0.00236,0.001469,7.7e-05,0.000201,0.000207,4.9e-05,0.001,0.006026,152,0,152
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000495,0.022556,0.018366,0.000494,0.025027,0.01484,0.000397,0.0016,0.084186,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000484,0.02049,0.017289,0.000343,0.005867,0.005631,0.000141,0.001228,0.051842,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000472,0.019442,0.017091,0.000316,0.005629,0.011024,0.000154,0.001201,0.055647,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000488,0.01948,0.017116,0.000293,0.005596,0.005465,0.000137,0.001122,0.050019,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.000335,0.01837,0.017069,0.000255,0.005528,0.005387,0.000132,0.001144,0.048532,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.000474,0.018837,0.017142,0.000277,0.005544,0.005431,0.000122,0.00112,0.049256,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.000434,0.018722,0.017064,0.000279,0.005477,0.005397,0.000122,0.001112,0.048914,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000318,0.018483,0.017101,0.000271,0.005516,0.005387,0.000121,0.001118,0.048625,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000426,0.018734,0.017092,0.000268,0.005527,0.005394,0.000128,0.001135,0.049006,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000497,0.018993,0.017014,0.000296,0.00558,0.005411,0.000134,0.001137,0.049368,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000319,0.018434,0.017089,0.000269,0.005506,0.005394,0.000124,0.001123,0.048565,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000323,0.018522,0.01709,0.000266,0.005485,0.005382,0.000123,0.001136,0.048634,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000527,0.052567,0.041203,0.00447,0.155538,0.123898,0.003246,0.006257,0.388112,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000542,0.045153,0.045283,0.004546,0.122435,0.12064,0.00324,0.006205,0.348415,54872,0,54872
